case_id,scenario_id,customer_id,injection_start,injection_end,validation_only,data_class
VC0047,FUNNEL_MULE,C001184,2026-08-03 08:00:00,2026-08-04 02:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0048,FUNNEL_MULE,C001106,2026-07-08 08:00:00,2026-07-09 02:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0049,FUNNEL_MULE,C000049,2026-08-06 08:00:00,2026-08-07 02:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0050,FUNNEL_MULE,C001564,2026-07-09 08:00:00,2026-07-10 02:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0051,FUNNEL_MULE,C001502,2026-07-29 08:00:00,2026-07-30 02:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0052,FUNNEL_MULE,C001729,2026-06-28 08:00:00,2026-06-29 02:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0053,FUNNEL_MULE,C001328,2026-07-01 08:00:00,2026-07-02 02:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0054,FUNNEL_MULE,C001506,2026-07-04 08:00:00,2026-07-05 02:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0063,HIGH_RISK_GEOGRAPHY,C000621,2026-07-30 15:00:00,2026-08-05 15:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0064,HIGH_RISK_GEOGRAPHY,C000496,2026-07-30 15:00:00,2026-08-05 15:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0065,HIGH_RISK_GEOGRAPHY,C000128,2026-07-29 15:00:00,2026-08-04 15:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0066,HIGH_RISK_GEOGRAPHY,C000586,2026-08-01 15:00:00,2026-08-07 15:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0067,HIGH_RISK_GEOGRAPHY,C000117,2026-08-07 15:00:00,2026-08-13 15:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0068,HIGH_RISK_GEOGRAPHY,C001743,2026-08-17 15:00:00,2026-08-23 15:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0069,HIGH_RISK_GEOGRAPHY,C001026,2026-08-09 15:00:00,2026-08-15 15:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0070,HIGH_RISK_GEOGRAPHY,C001043,2026-07-24 15:00:00,2026-07-30 15:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0071,HIGH_RISK_GEOGRAPHY,C000162,2026-08-05 15:00:00,2026-08-11 15:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0072,HIGH_RISK_GEOGRAPHY,C000505,2026-07-28 15:00:00,2026-08-03 15:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0073,HIGH_RISK_GEOGRAPHY,C001546,2026-08-02 15:00:00,2026-08-08 15:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0074,HIGH_RISK_GEOGRAPHY,C000896,2026-08-07 15:00:00,2026-08-13 15:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0075,HIGH_RISK_GEOGRAPHY,C001017,2026-08-14 15:00:00,2026-08-20 15:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0076,HIGH_RISK_GEOGRAPHY,C001597,2026-08-01 15:00:00,2026-08-07 15:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0016,RAPID_MOVEMENT,C001725,2026-07-04 14:00:00,2026-07-04 19:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0017,RAPID_MOVEMENT,C001518,2026-07-26 14:00:00,2026-07-26 19:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0018,RAPID_MOVEMENT,C001507,2026-08-14 14:00:00,2026-08-14 19:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0019,RAPID_MOVEMENT,C001700,2026-06-21 14:00:00,2026-06-21 19:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0020,RAPID_MOVEMENT,C000942,2026-06-30 14:00:00,2026-06-30 19:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0021,RAPID_MOVEMENT,C001769,2026-08-04 14:00:00,2026-08-04 19:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0022,RAPID_MOVEMENT,C001744,2026-06-30 14:00:00,2026-06-30 19:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0023,RAPID_MOVEMENT,C000446,2026-07-13 14:00:00,2026-07-13 19:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0024,RAPID_MOVEMENT,C001325,2026-07-31 14:00:00,2026-07-31 19:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0025,RAPID_MOVEMENT,C001542,2026-08-02 14:00:00,2026-08-02 19:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0026,RAPID_MOVEMENT,C000390,2026-06-23 14:00:00,2026-06-23 19:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0027,RAPID_MOVEMENT,C000344,2026-06-16 14:00:00,2026-06-16 19:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0028,RAPID_MOVEMENT,C001558,2026-07-23 14:00:00,2026-07-23 19:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0029,RAPID_MOVEMENT,C001027,2026-07-12 14:00:00,2026-07-12 19:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0030,RAPID_MOVEMENT,C000799,2026-07-04 14:00:00,2026-07-04 19:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0001,STRUCTURING,C000059,2026-07-12 06:00:00,2026-07-13 07:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0002,STRUCTURING,C001712,2026-06-26 06:00:00,2026-06-27 07:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0003,STRUCTURING,C001473,2026-08-04 06:00:00,2026-08-05 07:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0004,STRUCTURING,C000973,2026-06-30 06:00:00,2026-07-01 07:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0005,STRUCTURING,C000464,2026-07-06 06:00:00,2026-07-07 07:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0006,STRUCTURING,C001451,2026-07-14 06:00:00,2026-07-15 07:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0007,STRUCTURING,C000579,2026-06-24 06:00:00,2026-06-25 07:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0008,STRUCTURING,C000302,2026-07-12 06:00:00,2026-07-13 07:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0009,STRUCTURING,C001169,2026-07-26 06:00:00,2026-07-27 07:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0010,STRUCTURING,C000362,2026-07-08 06:00:00,2026-07-09 07:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0011,STRUCTURING,C001575,2026-07-20 06:00:00,2026-07-21 07:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0012,STRUCTURING,C000960,2026-07-06 06:00:00,2026-07-07 07:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0013,STRUCTURING,C000910,2026-07-09 06:00:00,2026-07-10 07:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0014,STRUCTURING,C001426,2026-06-28 06:00:00,2026-06-29 07:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0015,STRUCTURING,C000716,2026-07-12 06:00:00,2026-07-13 07:00:00,True,SYNTHETIC_VALIDATION_TRUTH
