source_id,target_id,relationship_type,evidence_source
C001202,A0000039,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000562,A0000040,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000976,A0000041,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000129,A0000042,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001256,A0000043,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000508,A0000044,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001187,A0000045,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001308,A0000046,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000032,A0000047,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000824,A0000048,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000198,A0000049,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000165,A0000050,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000695,A0000051,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000199,A0000052,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000048,A0000053,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000256,A0000054,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001388,A0000055,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001090,A0000056,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000900,A0000057,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000272,A0000058,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000064,A0000059,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000090,A0000060,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001369,A0000061,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000523,A0000062,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000670,A0000063,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000414,A0000064,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001257,A0000065,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001770,A0000066,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001675,A0000067,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001710,A0000068,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000395,A0000069,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001046,A0000070,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000023,A0000071,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000962,A0000072,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001430,A0000073,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001419,A0000074,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000747,A0000075,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000515,A0000076,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000887,A0000077,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000619,A0000078,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001215,A0000079,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000374,A0000080,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001607,A0000081,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000936,A0000082,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001788,A0000083,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000217,A0000084,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000304,A0000085,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000880,A0000086,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001747,A0000087,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000968,A0000088,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000863,A0000089,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001022,A0000090,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000386,A0000091,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001009,A0000092,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001054,A0000093,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000575,A0000094,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001732,A0000095,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000771,A0000096,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000358,A0000097,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001644,A0000098,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000569,A0000099,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001588,A0000100,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001782,A0000101,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000873,A0000102,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000372,A0000103,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000602,A0000104,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000786,A0000105,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000149,A0000106,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001218,A0000107,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000547,A0000108,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000922,A0000109,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001606,A0000110,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000218,A0000111,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000114,A0000112,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000688,A0000113,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000174,A0000114,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001074,A0000115,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001556,A0000116,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000909,A0000117,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000264,A0000118,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001353,A0000119,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000860,A0000120,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000993,A0000121,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000322,A0000122,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001494,A0000123,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001557,A0000124,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001656,A0000125,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001555,A0000126,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001216,A0000127,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000849,A0000128,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000975,A0000129,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000478,A0000130,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001244,A0000131,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001338,A0000132,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001359,A0000133,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001654,A0000134,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001340,A0000135,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001274,A0000136,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001449,A0000137,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000045,A0000138,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000769,A0000139,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000411,A0000140,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000409,A0000141,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000142,A0000142,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001653,A0000143,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000587,A0000144,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000983,A0000145,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000631,A0000146,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001308,A0000147,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000573,A0000148,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000546,A0000149,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000473,A0000150,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000107,A0000151,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000692,A0000152,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000329,A0000153,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000949,A0000154,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001318,A0000155,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001460,A0000156,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001698,A0000157,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001006,A0000158,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001432,A0000159,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000479,A0000160,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000421,A0000161,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000898,A0000162,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001656,A0000163,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001519,A0000164,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000368,A0000165,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001367,A0000166,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001303,A0000167,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001329,A0000168,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001252,A0000169,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001511,A0000170,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001603,A0000171,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000623,A0000172,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000617,A0000173,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000062,A0000174,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001441,A0000175,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000442,A0000176,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000921,A0000177,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001773,A0000178,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000061,A0000179,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001124,A0000180,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001198,A0000181,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000530,A0000182,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000586,A0000183,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001301,A0000184,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001769,A0000185,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001648,A0000186,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000328,A0000187,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000008,A0000188,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001793,A0000189,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001026,A0000190,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001484,A0000191,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000893,A0000192,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000622,A0000193,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001147,A0000194,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000152,A0000195,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000674,A0000196,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000457,A0000197,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001698,A0000198,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000791,A0000199,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000656,A0000200,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000119,A0000201,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001447,A0000202,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001652,A0000203,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000262,A0000204,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000502,A0000205,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001325,A0000206,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001386,A0000207,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000441,A0000208,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001456,A0000209,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001693,A0000210,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000345,A0000211,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000366,A0000212,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000286,A0000213,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001126,A0000214,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000946,A0000215,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001204,A0000216,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000467,A0000217,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001743,A0000218,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000969,A0000219,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000326,A0000220,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000446,A0000221,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000811,A0000222,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000926,A0000223,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000470,A0000224,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000223,A0000225,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000468,A0000226,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000979,A0000227,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001259,A0000228,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000766,A0000229,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000497,A0000230,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000574,A0000231,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000060,A0000232,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001164,A0000233,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000965,A0000234,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000944,A0000235,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000482,A0000236,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000838,A0000237,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000367,A0000238,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000769,A0000239,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001783,A0000240,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000279,A0000241,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000642,A0000242,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001245,A0000243,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000588,A0000244,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000198,A0000245,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000847,A0000246,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000797,A0000247,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000384,A0000248,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000382,A0000249,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001593,A0000250,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000342,A0000251,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000724,A0000252,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000837,A0000253,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001624,A0000254,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000100,A0000255,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000625,A0000256,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001317,A0000257,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001169,A0000258,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001024,A0000259,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000885,A0000260,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000591,A0000261,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000044,A0000262,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000779,A0000263,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000572,A0000264,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000859,A0000265,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000956,A0000266,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001067,A0000267,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000899,A0000268,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000194,A0000269,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001387,A0000270,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001486,A0000271,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000981,A0000272,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001229,A0000273,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000829,A0000274,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001761,A0000275,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001399,A0000276,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001389,A0000277,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000016,A0000278,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001000,A0000279,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000964,A0000280,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000130,A0000281,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000548,A0000282,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001127,A0000283,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000139,A0000284,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000664,A0000285,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000241,A0000286,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000202,A0000287,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000469,A0000288,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000504,A0000289,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000858,A0000290,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000080,A0000291,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000249,A0000292,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000102,A0000293,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000682,A0000294,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000005,A0000295,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001629,A0000296,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001102,A0000297,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000925,A0000298,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001739,A0000299,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001655,A0000300,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000743,A0000301,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000132,A0000302,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000823,A0000303,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001569,A0000304,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000572,A0000305,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000643,A0000306,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001341,A0000307,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001631,A0000308,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001108,A0000309,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000606,A0000310,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001177,A0000311,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000008,A0000312,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000049,A0000313,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001196,A0000314,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001162,A0000315,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001646,A0000316,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001290,A0000317,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000001,A0000318,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001284,A0000319,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001390,A0000320,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000121,A0000321,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000351,A0000322,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001570,A0000323,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000697,A0000324,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001625,A0000325,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000308,A0000326,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000211,A0000327,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000730,A0000328,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001422,A0000329,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000325,A0000330,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001486,A0000331,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001343,A0000332,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001298,A0000333,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000459,A0000334,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001080,A0000335,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001749,A0000336,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001483,A0000337,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000834,A0000338,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001645,A0000339,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000036,A0000340,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000854,A0000341,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000278,A0000342,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001050,A0000343,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000420,A0000344,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001415,A0000345,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001444,A0000346,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001105,A0000347,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000053,A0000348,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000007,A0000349,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
