customer_id,customer_label,customer_type,segment,residence_country,onboarding_channel,onboarding_date,pep_flag,synthetic_watchlist_match,occupation_risk,expected_monthly_turnover_try,expected_tx_count_30d,kyc_review_due_date,beneficial_owner_complete,source_of_funds_verified,data_class
C000017,Synthetic Customer 000017,CORPORATE,SME,TR,DIGITAL,2018-12-19,False,False,MEDIUM,46957.070000,31,2027-02-09,True,True,CONTROLLED_SYNTHETIC
C000018,Synthetic Customer 000018,INDIVIDUAL,MASS,TR,BRANCH,2022-05-01,False,False,HIGH,271192.140000,26,2026-12-03,True,True,CONTROLLED_SYNTHETIC
C000019,Synthetic Customer 000019,INDIVIDUAL,MASS,TR,RELATIONSHIP_MANAGER,2025-02-13,False,False,LOW,9042.330000,29,2026-07-12,True,True,CONTROLLED_SYNTHETIC
C000020,Synthetic Customer 000020,CORPORATE,SME,TR,BRANCH,2024-12-18,False,False,MEDIUM,99044.380000,28,2026-07-07,True,True,CONTROLLED_SYNTHETIC
C000021,Synthetic Customer 000021,INDIVIDUAL,MASS,TR,BRANCH,2019-06-29,False,False,LOW,298997.340000,38,2026-07-17,True,True,CONTROLLED_SYNTHETIC
C000022,Synthetic Customer 000022,INDIVIDUAL,MASS,RS,BRANCH,2024-08-29,False,False,HIGH,280265.400000,19,2027-10-05,True,True,CONTROLLED_SYNTHETIC
C000023,Synthetic Customer 000023,INDIVIDUAL,MASS,TR,RELATIONSHIP_MANAGER,2017-05-09,False,False,LOW,33548.400000,31,2025-08-02,True,False,CONTROLLED_SYNTHETIC
C000024,Synthetic Customer 000024,CORPORATE,SME,TR,BRANCH,2024-07-26,False,False,LOW,68471.790000,31,2027-04-05,True,True,CONTROLLED_SYNTHETIC
C000025,Synthetic Customer 000025,CORPORATE,SME,RS,BRANCH,2019-07-05,False,False,LOW,109112.020000,25,2025-09-12,True,True,CONTROLLED_SYNTHETIC
C000026,Synthetic Customer 000026,INDIVIDUAL,MASS,TR,BRANCH,2017-02-06,False,False,MEDIUM,81853.350000,30,2025-12-21,True,True,CONTROLLED_SYNTHETIC
C000027,Synthetic Customer 000027,INDIVIDUAL,MASS,TR,DIGITAL,2019-04-07,False,False,MEDIUM,267125.070000,32,2027-09-30,True,True,CONTROLLED_SYNTHETIC
C000028,Synthetic Customer 000028,INDIVIDUAL,MASS,US,DIGITAL,2024-09-25,False,False,LOW,44106.480000,31,2026-08-03,True,True,CONTROLLED_SYNTHETIC
C000029,Synthetic Customer 000029,CORPORATE,SME,TR,BRANCH,2018-10-29,False,False,LOW,284350.510000,31,2027-07-06,True,True,CONTROLLED_SYNTHETIC
C000030,Synthetic Customer 000030,INDIVIDUAL,MASS,GB,DIGITAL,2019-06-08,False,False,LOW,107693.990000,28,2026-05-24,True,True,CONTROLLED_SYNTHETIC
C000031,Synthetic Customer 000031,INDIVIDUAL,AFFLUENT,GE,DIGITAL,2017-04-26,False,False,HIGH,68808.940000,31,2027-01-22,True,True,CONTROLLED_SYNTHETIC
C000032,Synthetic Customer 000032,INDIVIDUAL,AFFLUENT,US,DIGITAL,2022-07-17,False,False,MEDIUM,262689.680000,23,2027-06-21,True,False,CONTROLLED_SYNTHETIC
C000033,Synthetic Customer 000033,INDIVIDUAL,MASS,TR,DIGITAL,2023-10-24,False,False,LOW,1077494.310000,26,2025-06-30,True,True,CONTROLLED_SYNTHETIC
C000034,Synthetic Customer 000034,INDIVIDUAL,AFFLUENT,TR,DIGITAL,2025-01-29,False,False,LOW,247373.620000,35,2027-08-29,True,False,CONTROLLED_SYNTHETIC
C000035,Synthetic Customer 000035,INDIVIDUAL,MASS,TR,RELATIONSHIP_MANAGER,2020-10-05,False,False,LOW,28711.080000,25,2026-11-22,True,True,CONTROLLED_SYNTHETIC
C000036,Synthetic Customer 000036,CORPORATE,SME,TR,BRANCH,2018-05-25,False,False,HIGH,270964.520000,26,2027-01-17,True,True,CONTROLLED_SYNTHETIC
C000037,Synthetic Customer 000037,INDIVIDUAL,MASS,US,DIGITAL,2017-05-18,False,False,LOW,93639.770000,27,2026-06-17,True,True,CONTROLLED_SYNTHETIC
C000038,Synthetic Customer 000038,INDIVIDUAL,MASS,TR,BRANCH,2019-02-06,False,False,LOW,25963.140000,26,2026-09-27,True,True,CONTROLLED_SYNTHETIC
C000039,Synthetic Customer 000039,INDIVIDUAL,MASS,TR,BRANCH,2022-03-27,False,False,LOW,11241.110000,34,2025-08-19,True,True,CONTROLLED_SYNTHETIC
C000040,Synthetic Customer 000040,INDIVIDUAL,MASS,TR,DIGITAL,2020-04-20,False,False,HIGH,47154.420000,27,2026-04-06,True,True,CONTROLLED_SYNTHETIC
C000041,Synthetic Customer 000041,INDIVIDUAL,MASS,TR,DIGITAL,2026-03-02,False,False,MEDIUM,545742.360000,21,2027-03-24,True,True,CONTROLLED_SYNTHETIC
C000042,Synthetic Customer 000042,INDIVIDUAL,PRIVATE,TR,BRANCH,2018-04-29,False,False,LOW,609960.880000,31,2025-08-26,True,True,CONTROLLED_SYNTHETIC
C000043,Synthetic Customer 000043,CORPORATE,SME,TR,RELATIONSHIP_MANAGER,2023-06-19,False,False,LOW,34474.680000,21,2027-04-26,True,False,CONTROLLED_SYNTHETIC
C000044,Synthetic Customer 000044,INDIVIDUAL,MASS,TR,DIGITAL,2025-11-08,False,False,LOW,30293.850000,33,2026-11-13,True,True,CONTROLLED_SYNTHETIC
C000045,Synthetic Customer 000045,CORPORATE,COMMERCIAL,TR,BRANCH,2022-05-31,False,False,LOW,29085.210000,31,2027-09-16,True,True,CONTROLLED_SYNTHETIC
C000046,Synthetic Customer 000046,INDIVIDUAL,AFFLUENT,TR,BRANCH,2018-02-08,False,False,MEDIUM,54839.850000,28,2026-10-05,True,True,CONTROLLED_SYNTHETIC
C000047,Synthetic Customer 000047,CORPORATE,SME,TR,DIGITAL,2019-11-26,False,False,LOW,452206.420000,28,2027-04-30,True,False,CONTROLLED_SYNTHETIC
C000048,Synthetic Customer 000048,INDIVIDUAL,MASS,TR,BRANCH,2021-10-26,False,False,MEDIUM,79447.620000,25,2026-01-28,True,True,CONTROLLED_SYNTHETIC
C000049,Synthetic Customer 000049,INDIVIDUAL,MASS,TR,DIGITAL,2016-10-30,False,False,MEDIUM,522968.810000,28,2027-01-14,True,True,CONTROLLED_SYNTHETIC
C000050,Synthetic Customer 000050,INDIVIDUAL,MASS,TR,BRANCH,2022-06-10,False,False,LOW,56081.850000,23,2025-11-28,True,False,CONTROLLED_SYNTHETIC
C000051,Synthetic Customer 000051,INDIVIDUAL,MASS,TR,BRANCH,2023-08-11,False,False,MEDIUM,24109.680000,27,2025-07-15,True,True,CONTROLLED_SYNTHETIC
C000052,Synthetic Customer 000052,INDIVIDUAL,MASS,TR,BRANCH,2025-11-27,False,False,LOW,52408.190000,41,2026-09-20,True,True,CONTROLLED_SYNTHETIC
C000053,Synthetic Customer 000053,INDIVIDUAL,MASS,TR,DIGITAL,2021-06-15,False,False,LOW,57437.480000,17,2026-11-27,True,True,CONTROLLED_SYNTHETIC
C000054,Synthetic Customer 000054,INDIVIDUAL,PRIVATE,TR,DIGITAL,2025-05-27,False,False,LOW,74123.800000,23,2026-03-05,True,True,CONTROLLED_SYNTHETIC
C000055,Synthetic Customer 000055,CORPORATE,SME,TR,BRANCH,2023-11-26,False,False,LOW,68276.310000,26,2027-01-12,True,True,CONTROLLED_SYNTHETIC
C000056,Synthetic Customer 000056,INDIVIDUAL,MASS,TR,RELATIONSHIP_MANAGER,2023-11-20,False,False,LOW,8000.000000,27,2025-10-17,True,True,CONTROLLED_SYNTHETIC
C000057,Synthetic Customer 000057,CORPORATE,SME,TR,BRANCH,2016-12-14,False,False,LOW,8825.710000,32,2027-04-27,True,True,CONTROLLED_SYNTHETIC
C000058,Synthetic Customer 000058,INDIVIDUAL,MASS,TR,DIGITAL,2022-08-24,False,False,LOW,18300.020000,29,2026-12-28,True,True,CONTROLLED_SYNTHETIC
C000059,Synthetic Customer 000059,INDIVIDUAL,MASS,TR,RELATIONSHIP_MANAGER,2026-06-07,False,False,LOW,17504.250000,33,2025-08-13,True,True,CONTROLLED_SYNTHETIC
C000060,Synthetic Customer 000060,INDIVIDUAL,MASS,TR,DIGITAL,2023-08-15,False,False,MEDIUM,184680.550000,20,2026-10-10,True,True,CONTROLLED_SYNTHETIC
C000061,Synthetic Customer 000061,INDIVIDUAL,MASS,TR,DIGITAL,2017-03-19,False,False,LOW,246092.790000,32,2027-04-04,True,True,CONTROLLED_SYNTHETIC
C000062,Synthetic Customer 000062,INDIVIDUAL,MASS,TR,DIGITAL,2016-12-14,False,False,LOW,256386.720000,23,2027-09-22,True,True,CONTROLLED_SYNTHETIC
C000063,Synthetic Customer 000063,INDIVIDUAL,MASS,TR,BRANCH,2021-10-10,False,False,LOW,20396.050000,27,2026-02-13,True,False,CONTROLLED_SYNTHETIC
C000064,Synthetic Customer 000064,INDIVIDUAL,AFFLUENT,TR,BRANCH,2022-05-18,False,False,LOW,23472.930000,24,2026-04-20,True,False,CONTROLLED_SYNTHETIC
C000065,Synthetic Customer 000065,INDIVIDUAL,AFFLUENT,TR,BRANCH,2019-02-07,False,False,MEDIUM,56643.060000,38,2027-04-23,True,True,CONTROLLED_SYNTHETIC
C000066,Synthetic Customer 000066,CORPORATE,COMMERCIAL,TR,DIGITAL,2022-02-06,False,False,HIGH,169307.720000,22,2026-06-25,True,True,CONTROLLED_SYNTHETIC
C000067,Synthetic Customer 000067,INDIVIDUAL,MASS,TR,BRANCH,2023-06-26,False,False,MEDIUM,22827.910000,20,2026-09-04,True,True,CONTROLLED_SYNTHETIC
C000068,Synthetic Customer 000068,INDIVIDUAL,MASS,TR,BRANCH,2020-05-01,False,False,LOW,25363.080000,28,2026-04-29,True,True,CONTROLLED_SYNTHETIC
C000069,Synthetic Customer 000069,CORPORATE,COMMERCIAL,TR,BRANCH,2022-03-27,True,False,LOW,85061.340000,32,2027-07-04,True,True,CONTROLLED_SYNTHETIC
C000070,Synthetic Customer 000070,INDIVIDUAL,MASS,TR,DIGITAL,2024-07-14,False,False,LOW,16137.580000,25,2026-03-15,True,True,CONTROLLED_SYNTHETIC
C000071,Synthetic Customer 000071,INDIVIDUAL,MASS,DE,BRANCH,2025-03-19,False,False,LOW,23331.210000,35,2025-08-20,True,True,CONTROLLED_SYNTHETIC
C000072,Synthetic Customer 000072,CORPORATE,SME,TR,BRANCH,2021-11-24,False,False,LOW,20897.180000,28,2027-06-04,True,True,CONTROLLED_SYNTHETIC
C000073,Synthetic Customer 000073,CORPORATE,SME,TR,BRANCH,2022-01-03,False,False,MEDIUM,406289.990000,28,2027-09-23,True,True,CONTROLLED_SYNTHETIC
C000074,Synthetic Customer 000074,CORPORATE,SME,TR,DIGITAL,2023-03-16,False,False,MEDIUM,81101.360000,37,2026-08-14,True,True,CONTROLLED_SYNTHETIC
C000075,Synthetic Customer 000075,INDIVIDUAL,AFFLUENT,TR,DIGITAL,2024-05-06,False,False,LOW,101692.050000,32,2027-04-12,True,True,CONTROLLED_SYNTHETIC
C000076,Synthetic Customer 000076,CORPORATE,COMMERCIAL,TR,BRANCH,2020-10-23,False,False,MEDIUM,35795.730000,22,2025-07-24,True,True,CONTROLLED_SYNTHETIC
C000077,Synthetic Customer 000077,INDIVIDUAL,MASS,TR,BRANCH,2017-04-19,False,False,MEDIUM,44149.750000,30,2026-12-22,True,True,CONTROLLED_SYNTHETIC
C000078,Synthetic Customer 000078,INDIVIDUAL,MASS,TR,DIGITAL,2020-08-11,False,False,HIGH,51635.720000,23,2026-05-06,True,True,CONTROLLED_SYNTHETIC
C000079,Synthetic Customer 000079,INDIVIDUAL,PRIVATE,TR,BRANCH,2021-05-04,False,False,LOW,92543.810000,27,2027-02-04,True,True,CONTROLLED_SYNTHETIC
C000080,Synthetic Customer 000080,INDIVIDUAL,MASS,TR,BRANCH,2019-02-27,True,False,LOW,190114.930000,26,2027-04-02,True,True,CONTROLLED_SYNTHETIC
C000081,Synthetic Customer 000081,INDIVIDUAL,MASS,TR,DIGITAL,2019-09-24,False,False,MEDIUM,20766.640000,34,2027-09-25,True,True,CONTROLLED_SYNTHETIC
C000082,Synthetic Customer 000082,CORPORATE,COMMERCIAL,RS,BRANCH,2018-12-25,False,False,HIGH,10936.830000,31,2026-11-06,True,True,CONTROLLED_SYNTHETIC
C000083,Synthetic Customer 000083,INDIVIDUAL,AFFLUENT,TR,BRANCH,2019-10-11,False,False,MEDIUM,20335.410000,27,2026-04-06,True,True,CONTROLLED_SYNTHETIC
C000084,Synthetic Customer 000084,CORPORATE,SME,TR,BRANCH,2019-07-20,False,False,MEDIUM,116806.840000,32,2026-04-27,True,True,CONTROLLED_SYNTHETIC
C000085,Synthetic Customer 000085,CORPORATE,SME,TR,DIGITAL,2022-05-13,False,False,LOW,776134.810000,27,2027-02-24,True,True,CONTROLLED_SYNTHETIC
C000086,Synthetic Customer 000086,INDIVIDUAL,MASS,TR,DIGITAL,2017-03-27,False,False,MEDIUM,51799.370000,30,2025-08-31,True,True,CONTROLLED_SYNTHETIC
C000087,Synthetic Customer 000087,CORPORATE,SME,TR,RELATIONSHIP_MANAGER,2024-02-13,False,False,HIGH,15142.970000,23,2025-11-18,True,True,CONTROLLED_SYNTHETIC
C000088,Synthetic Customer 000088,INDIVIDUAL,MASS,TR,BRANCH,2022-07-31,False,False,LOW,127417.940000,31,2026-12-24,True,True,CONTROLLED_SYNTHETIC
C000089,Synthetic Customer 000089,INDIVIDUAL,MASS,TR,DIGITAL,2017-07-15,False,False,LOW,143170.280000,26,2027-06-17,True,True,CONTROLLED_SYNTHETIC
C000090,Synthetic Customer 000090,INDIVIDUAL,MASS,US,DIGITAL,2018-10-27,False,False,MEDIUM,70802.920000,25,2026-10-05,True,True,CONTROLLED_SYNTHETIC
C000091,Synthetic Customer 000091,INDIVIDUAL,AFFLUENT,AE,BRANCH,2018-10-05,False,False,LOW,14920.240000,23,2025-08-21,True,True,CONTROLLED_SYNTHETIC
C000092,Synthetic Customer 000092,INDIVIDUAL,MASS,TR,BRANCH,2016-12-27,False,False,HIGH,154011.430000,31,2025-09-18,True,True,CONTROLLED_SYNTHETIC
C000093,Synthetic Customer 000093,INDIVIDUAL,MASS,TR,BRANCH,2021-11-04,False,False,MEDIUM,62830.940000,27,2025-09-25,True,True,CONTROLLED_SYNTHETIC
C000094,Synthetic Customer 000094,INDIVIDUAL,MASS,AE,RELATIONSHIP_MANAGER,2019-12-26,False,False,LOW,17796.600000,25,2027-07-31,True,True,CONTROLLED_SYNTHETIC
C000095,Synthetic Customer 000095,INDIVIDUAL,MASS,AE,BRANCH,2023-11-14,False,False,LOW,79566.510000,24,2026-02-15,True,True,CONTROLLED_SYNTHETIC
C000096,Synthetic Customer 000096,INDIVIDUAL,MASS,TR,BRANCH,2024-06-24,False,False,LOW,46628.600000,19,2026-10-08,True,True,CONTROLLED_SYNTHETIC
C000097,Synthetic Customer 000097,INDIVIDUAL,AFFLUENT,TR,BRANCH,2020-10-29,False,False,MEDIUM,39405.800000,22,2025-10-10,True,True,CONTROLLED_SYNTHETIC
C000098,Synthetic Customer 000098,INDIVIDUAL,MASS,TR,BRANCH,2019-03-01,False,False,LOW,8000.000000,24,2025-08-28,True,True,CONTROLLED_SYNTHETIC
C000099,Synthetic Customer 000099,INDIVIDUAL,AFFLUENT,AE,BRANCH,2023-12-30,False,False,LOW,246033.180000,31,2025-08-19,True,True,CONTROLLED_SYNTHETIC
C000100,Synthetic Customer 000100,INDIVIDUAL,MASS,GE,BRANCH,2018-09-15,False,False,LOW,97844.260000,28,2026-08-04,True,True,CONTROLLED_SYNTHETIC
C000101,Synthetic Customer 000101,CORPORATE,SME,TR,BRANCH,2023-11-21,False,False,LOW,369896.470000,41,2025-11-08,True,True,CONTROLLED_SYNTHETIC
C000102,Synthetic Customer 000102,INDIVIDUAL,MASS,TR,BRANCH,2024-07-18,False,False,LOW,740736.980000,33,2027-03-08,True,True,CONTROLLED_SYNTHETIC
C000103,Synthetic Customer 000103,CORPORATE,SME,TR,BRANCH,2025-11-04,False,False,LOW,52750.020000,37,2025-07-04,True,True,CONTROLLED_SYNTHETIC
C000104,Synthetic Customer 000104,INDIVIDUAL,MASS,TR,DIGITAL,2017-02-25,False,False,MEDIUM,20689.950000,26,2026-12-17,True,True,CONTROLLED_SYNTHETIC
C000105,Synthetic Customer 000105,INDIVIDUAL,MASS,TR,BRANCH,2026-05-16,False,False,LOW,48358.250000,30,2027-01-21,True,True,CONTROLLED_SYNTHETIC
C000106,Synthetic Customer 000106,INDIVIDUAL,MASS,RS,BRANCH,2020-09-12,False,False,LOW,199334.700000,26,2027-06-17,True,True,CONTROLLED_SYNTHETIC
C000107,Synthetic Customer 000107,CORPORATE,COMMERCIAL,TR,DIGITAL,2018-01-10,False,False,MEDIUM,41113.250000,23,2025-12-24,True,True,CONTROLLED_SYNTHETIC
C000108,Synthetic Customer 000108,INDIVIDUAL,MASS,TR,DIGITAL,2022-11-30,False,False,LOW,63222.830000,27,2027-08-24,True,True,CONTROLLED_SYNTHETIC
C000109,Synthetic Customer 000109,INDIVIDUAL,MASS,GB,DIGITAL,2020-07-09,False,False,MEDIUM,229822.390000,26,2026-07-14,True,True,CONTROLLED_SYNTHETIC
C000110,Synthetic Customer 000110,INDIVIDUAL,MASS,TR,BRANCH,2025-10-26,False,False,LOW,191389.870000,34,2026-08-17,True,False,CONTROLLED_SYNTHETIC
C000111,Synthetic Customer 000111,CORPORATE,SME,TR,BRANCH,2022-11-26,False,False,LOW,36198.840000,29,2025-11-06,True,True,CONTROLLED_SYNTHETIC
C000112,Synthetic Customer 000112,INDIVIDUAL,AFFLUENT,TR,DIGITAL,2024-08-11,False,False,MEDIUM,18981.330000,29,2026-12-26,True,True,CONTROLLED_SYNTHETIC
C000113,Synthetic Customer 000113,INDIVIDUAL,MASS,TR,DIGITAL,2024-11-09,False,False,LOW,79864.810000,17,2026-02-17,True,True,CONTROLLED_SYNTHETIC
C000114,Synthetic Customer 000114,INDIVIDUAL,MASS,GE,BRANCH,2024-05-07,False,False,LOW,771897.950000,26,2026-10-26,True,True,CONTROLLED_SYNTHETIC
C000115,Synthetic Customer 000115,INDIVIDUAL,AFFLUENT,TR,DIGITAL,2021-07-06,False,False,LOW,44044.150000,28,2026-12-22,True,True,CONTROLLED_SYNTHETIC
C000116,Synthetic Customer 000116,INDIVIDUAL,AFFLUENT,RS,RELATIONSHIP_MANAGER,2017-07-25,False,False,MEDIUM,8000.000000,29,2026-05-20,True,True,CONTROLLED_SYNTHETIC
C000117,Synthetic Customer 000117,INDIVIDUAL,MASS,TR,DIGITAL,2021-12-31,False,False,LOW,27427.580000,28,2026-02-21,True,True,CONTROLLED_SYNTHETIC
C000118,Synthetic Customer 000118,INDIVIDUAL,MASS,TR,RELATIONSHIP_MANAGER,2017-12-23,False,False,LOW,188206.920000,28,2025-07-21,True,True,CONTROLLED_SYNTHETIC
C000119,Synthetic Customer 000119,INDIVIDUAL,AFFLUENT,TR,DIGITAL,2018-04-07,False,False,LOW,404397.780000,36,2026-07-06,True,True,CONTROLLED_SYNTHETIC
C000120,Synthetic Customer 000120,INDIVIDUAL,AFFLUENT,TR,BRANCH,2022-01-17,False,False,LOW,60403.440000,22,2026-01-13,True,True,CONTROLLED_SYNTHETIC
C000121,Synthetic Customer 000121,INDIVIDUAL,MASS,TR,DIGITAL,2023-01-01,False,False,LOW,408615.420000,35,2026-01-29,True,True,CONTROLLED_SYNTHETIC
C000122,Synthetic Customer 000122,INDIVIDUAL,MASS,TR,BRANCH,2022-06-03,False,False,LOW,38262.280000,20,2027-05-28,True,False,CONTROLLED_SYNTHETIC
C000123,Synthetic Customer 000123,CORPORATE,SME,TR,BRANCH,2017-03-29,False,False,HIGH,8000.000000,24,2026-08-02,True,True,CONTROLLED_SYNTHETIC
C000124,Synthetic Customer 000124,INDIVIDUAL,MASS,TR,DIGITAL,2019-03-27,False,False,LOW,340132.890000,27,2026-02-19,True,True,CONTROLLED_SYNTHETIC
C000125,Synthetic Customer 000125,CORPORATE,SME,TR,RELATIONSHIP_MANAGER,2019-04-15,False,False,LOW,20807.690000,29,2026-11-10,True,True,CONTROLLED_SYNTHETIC
C000126,Synthetic Customer 000126,INDIVIDUAL,MASS,TR,DIGITAL,2020-09-30,False,False,MEDIUM,106744.930000,28,2027-02-26,True,True,CONTROLLED_SYNTHETIC
C000127,Synthetic Customer 000127,INDIVIDUAL,AFFLUENT,TR,RELATIONSHIP_MANAGER,2025-06-21,False,False,LOW,1268074.870000,28,2027-06-03,True,True,CONTROLLED_SYNTHETIC
C000128,Synthetic Customer 000128,INDIVIDUAL,AFFLUENT,TR,DIGITAL,2021-05-23,False,False,MEDIUM,75829.460000,25,2027-05-06,True,True,CONTROLLED_SYNTHETIC
C000129,Synthetic Customer 000129,CORPORATE,SME,TR,DIGITAL,2024-02-13,False,False,MEDIUM,93217.330000,31,2026-10-19,True,True,CONTROLLED_SYNTHETIC
C000130,Synthetic Customer 000130,CORPORATE,COMMERCIAL,TR,RELATIONSHIP_MANAGER,2026-03-23,False,False,MEDIUM,28004.220000,28,2026-01-09,True,True,CONTROLLED_SYNTHETIC
C000131,Synthetic Customer 000131,INDIVIDUAL,MASS,TR,DIGITAL,2019-09-18,False,False,HIGH,9916.660000,21,2026-07-30,True,True,CONTROLLED_SYNTHETIC
C000132,Synthetic Customer 000132,INDIVIDUAL,MASS,AE,BRANCH,2024-07-23,False,False,LOW,40784.010000,24,2025-11-27,True,True,CONTROLLED_SYNTHETIC
C000133,Synthetic Customer 000133,CORPORATE,SME,GE,RELATIONSHIP_MANAGER,2021-09-05,False,False,MEDIUM,509547.220000,27,2026-08-03,True,True,CONTROLLED_SYNTHETIC
C000134,Synthetic Customer 000134,INDIVIDUAL,MASS,RS,BRANCH,2023-10-28,False,False,LOW,123063.990000,33,2025-07-03,True,True,CONTROLLED_SYNTHETIC
C000135,Synthetic Customer 000135,INDIVIDUAL,MASS,TR,DIGITAL,2025-10-13,False,False,LOW,45340.560000,26,2027-08-06,True,True,CONTROLLED_SYNTHETIC
C000136,Synthetic Customer 000136,INDIVIDUAL,AFFLUENT,TR,BRANCH,2019-04-23,False,False,MEDIUM,65003.940000,25,2026-05-25,True,True,CONTROLLED_SYNTHETIC
C000137,Synthetic Customer 000137,INDIVIDUAL,MASS,TR,DIGITAL,2025-10-26,False,False,LOW,72322.820000,32,2026-07-18,True,True,CONTROLLED_SYNTHETIC
C000138,Synthetic Customer 000138,INDIVIDUAL,AFFLUENT,TR,DIGITAL,2019-12-18,False,False,LOW,371036.740000,26,2027-01-18,True,True,CONTROLLED_SYNTHETIC
C000139,Synthetic Customer 000139,INDIVIDUAL,MASS,TR,DIGITAL,2026-01-31,True,False,LOW,9695.630000,32,2026-08-01,True,True,CONTROLLED_SYNTHETIC
C000140,Synthetic Customer 000140,INDIVIDUAL,MASS,GB,BRANCH,2021-04-22,False,False,MEDIUM,68780.940000,32,2025-11-08,True,True,CONTROLLED_SYNTHETIC
C000141,Synthetic Customer 000141,CORPORATE,SME,TR,DIGITAL,2019-08-19,False,False,LOW,207979.740000,28,2025-09-06,True,True,CONTROLLED_SYNTHETIC
C000142,Synthetic Customer 000142,INDIVIDUAL,MASS,TR,DIGITAL,2023-01-14,False,False,LOW,13159.340000,30,2027-02-28,True,True,CONTROLLED_SYNTHETIC
C000143,Synthetic Customer 000143,INDIVIDUAL,MASS,TR,RELATIONSHIP_MANAGER,2017-04-29,False,False,MEDIUM,412068.450000,27,2025-10-15,True,True,CONTROLLED_SYNTHETIC
C000144,Synthetic Customer 000144,INDIVIDUAL,MASS,TR,DIGITAL,2020-06-30,False,False,LOW,69793.240000,21,2027-05-08,True,True,CONTROLLED_SYNTHETIC
C000145,Synthetic Customer 000145,INDIVIDUAL,AFFLUENT,TR,BRANCH,2023-09-06,False,False,LOW,275570.660000,30,2025-07-21,True,True,CONTROLLED_SYNTHETIC
C000146,Synthetic Customer 000146,INDIVIDUAL,MASS,TR,BRANCH,2025-03-06,False,False,LOW,87351.210000,29,2027-01-21,True,True,CONTROLLED_SYNTHETIC
C000147,Synthetic Customer 000147,CORPORATE,SME,TR,RELATIONSHIP_MANAGER,2023-03-06,False,False,LOW,239378.360000,28,2025-08-01,True,True,CONTROLLED_SYNTHETIC
C000148,Synthetic Customer 000148,INDIVIDUAL,MASS,TR,DIGITAL,2025-01-28,False,False,LOW,43008.470000,25,2027-02-15,True,True,CONTROLLED_SYNTHETIC
