account_id,customer_id,account_type,currency,opened_date,status,dormant_flag,dormant_since,data_class
A0000040,C000562,PAYMENT,TRY,2024-12-23,OPEN,False,,CONTROLLED_SYNTHETIC
A0000041,C000976,PAYMENT,TRY,2026-01-05,OPEN,False,,CONTROLLED_SYNTHETIC
A0000042,C000129,CURRENT,TRY,2024-11-11,OPEN,False,,CONTROLLED_SYNTHETIC
A0000043,C001256,CURRENT,TRY,2023-10-16,OPEN,False,,CONTROLLED_SYNTHETIC
A0000044,C000508,PAYMENT,TRY,2015-06-09,OPEN,True,1747699200000000000,CONTROLLED_SYNTHETIC
A0000045,C001187,SAVINGS,TRY,2024-03-19,OPEN,True,1724976000000000000,CONTROLLED_SYNTHETIC
A0000046,C001308,PAYMENT,TRY,2025-04-15,OPEN,False,,CONTROLLED_SYNTHETIC
A0000047,C000032,PAYMENT,TRY,2018-01-12,OPEN,False,,CONTROLLED_SYNTHETIC
A0000048,C000824,CURRENT,TRY,2022-06-29,OPEN,False,,CONTROLLED_SYNTHETIC
A0000049,C000198,CURRENT,USD,2025-05-30,OPEN,False,,CONTROLLED_SYNTHETIC
A0000050,C000165,PAYMENT,USD,2021-09-20,OPEN,False,,CONTROLLED_SYNTHETIC
A0000051,C000695,CURRENT,TRY,2023-02-11,OPEN,False,,CONTROLLED_SYNTHETIC
A0000052,C000199,PAYMENT,TRY,2022-01-13,OPEN,False,,CONTROLLED_SYNTHETIC
A0000053,C000048,CURRENT,TRY,2017-03-05,OPEN,False,,CONTROLLED_SYNTHETIC
A0000054,C000256,CURRENT,TRY,2025-08-19,OPEN,False,,CONTROLLED_SYNTHETIC
A0000055,C001388,BUSINESS,USD,2018-03-22,OPEN,False,,CONTROLLED_SYNTHETIC
A0000056,C001090,CURRENT,TRY,2017-06-04,OPEN,False,,CONTROLLED_SYNTHETIC
A0000057,C000900,SAVINGS,TRY,2023-06-12,OPEN,False,,CONTROLLED_SYNTHETIC
A0000058,C000272,PAYMENT,TRY,2018-10-28,OPEN,False,,CONTROLLED_SYNTHETIC
A0000059,C000064,PAYMENT,TRY,2018-02-27,OPEN,False,,CONTROLLED_SYNTHETIC
A0000060,C000090,CURRENT,TRY,2018-06-06,OPEN,False,,CONTROLLED_SYNTHETIC
A0000061,C001369,PAYMENT,TRY,2020-07-08,OPEN,False,,CONTROLLED_SYNTHETIC
A0000062,C000523,PAYMENT,TRY,2017-12-23,OPEN,False,,CONTROLLED_SYNTHETIC
A0000063,C000670,CURRENT,TRY,2016-10-08,OPEN,False,,CONTROLLED_SYNTHETIC
A0000064,C000414,SAVINGS,TRY,2015-12-12,OPEN,True,1739145600000000000,CONTROLLED_SYNTHETIC
A0000065,C001257,CURRENT,TRY,2017-01-24,OPEN,False,,CONTROLLED_SYNTHETIC
A0000066,C001770,CURRENT,TRY,2017-11-19,OPEN,True,1738627200000000000,CONTROLLED_SYNTHETIC
A0000067,C001675,SAVINGS,TRY,2015-06-27,OPEN,False,,CONTROLLED_SYNTHETIC
A0000068,C001710,PAYMENT,EUR,2020-02-17,OPEN,False,,CONTROLLED_SYNTHETIC
A0000069,C000395,CURRENT,TRY,2023-02-28,OPEN,False,,CONTROLLED_SYNTHETIC
A0000070,C001046,CURRENT,TRY,2022-12-25,OPEN,False,,CONTROLLED_SYNTHETIC
A0000071,C000023,SAVINGS,TRY,2025-03-04,OPEN,False,,CONTROLLED_SYNTHETIC
A0000072,C000962,SAVINGS,TRY,2019-04-12,OPEN,False,,CONTROLLED_SYNTHETIC
A0000073,C001430,PAYMENT,TRY,2019-01-30,OPEN,False,,CONTROLLED_SYNTHETIC
A0000074,C001419,CURRENT,TRY,2020-09-27,OPEN,False,,CONTROLLED_SYNTHETIC
A0000075,C000747,PAYMENT,EUR,2021-02-24,OPEN,False,,CONTROLLED_SYNTHETIC
A0000076,C000515,PAYMENT,TRY,2015-03-04,OPEN,False,,CONTROLLED_SYNTHETIC
A0000077,C000887,CURRENT,TRY,2025-11-10,OPEN,False,,CONTROLLED_SYNTHETIC
A0000078,C000619,BUSINESS,TRY,2019-12-15,OPEN,True,1722384000000000000,CONTROLLED_SYNTHETIC
A0000079,C001215,CURRENT,USD,2017-02-19,OPEN,False,,CONTROLLED_SYNTHETIC
A0000080,C000374,PAYMENT,TRY,2019-05-24,OPEN,False,,CONTROLLED_SYNTHETIC
A0000081,C001607,CURRENT,TRY,2022-04-07,OPEN,False,,CONTROLLED_SYNTHETIC
A0000082,C000936,CURRENT,TRY,2021-01-24,OPEN,False,,CONTROLLED_SYNTHETIC
A0000083,C001788,PAYMENT,TRY,2023-07-03,OPEN,False,,CONTROLLED_SYNTHETIC
A0000084,C000217,CURRENT,EUR,2016-02-23,OPEN,False,,CONTROLLED_SYNTHETIC
A0000085,C000304,CURRENT,TRY,2015-10-13,OPEN,False,,CONTROLLED_SYNTHETIC
A0000086,C000880,PAYMENT,TRY,2023-06-02,OPEN,False,,CONTROLLED_SYNTHETIC
A0000087,C001747,BUSINESS,TRY,2018-01-02,OPEN,False,,CONTROLLED_SYNTHETIC
A0000088,C000968,PAYMENT,USD,2019-05-15,OPEN,False,,CONTROLLED_SYNTHETIC
A0000089,C000863,CURRENT,USD,2019-05-20,OPEN,False,,CONTROLLED_SYNTHETIC
A0000090,C001022,SAVINGS,TRY,2021-01-17,OPEN,False,,CONTROLLED_SYNTHETIC
A0000091,C000386,SAVINGS,TRY,2016-05-17,OPEN,False,,CONTROLLED_SYNTHETIC
A0000092,C001009,CURRENT,TRY,2020-03-28,OPEN,False,,CONTROLLED_SYNTHETIC
A0000093,C001054,SAVINGS,TRY,2014-12-24,OPEN,False,,CONTROLLED_SYNTHETIC
A0000094,C000575,BUSINESS,TRY,2022-04-12,OPEN,False,,CONTROLLED_SYNTHETIC
A0000095,C001732,CURRENT,TRY,2021-12-09,OPEN,False,,CONTROLLED_SYNTHETIC
A0000096,C000771,PAYMENT,TRY,2018-09-28,OPEN,False,,CONTROLLED_SYNTHETIC
A0000097,C000358,PAYMENT,TRY,2020-08-23,OPEN,False,,CONTROLLED_SYNTHETIC
A0000098,C001644,CURRENT,TRY,2022-09-08,OPEN,False,,CONTROLLED_SYNTHETIC
A0000099,C000569,CURRENT,TRY,2023-05-10,OPEN,False,,CONTROLLED_SYNTHETIC
A0000100,C001588,SAVINGS,TRY,2022-04-03,OPEN,False,,CONTROLLED_SYNTHETIC
A0000101,C001782,CURRENT,TRY,2021-01-07,OPEN,False,,CONTROLLED_SYNTHETIC
A0000102,C000873,CURRENT,TRY,2025-12-23,OPEN,False,,CONTROLLED_SYNTHETIC
A0000103,C000372,CURRENT,TRY,2025-05-28,OPEN,False,,CONTROLLED_SYNTHETIC
A0000104,C000602,SAVINGS,TRY,2021-11-09,OPEN,False,,CONTROLLED_SYNTHETIC
A0000105,C000786,BUSINESS,TRY,2015-05-05,OPEN,False,,CONTROLLED_SYNTHETIC
A0000106,C000149,CURRENT,TRY,2016-07-01,OPEN,False,,CONTROLLED_SYNTHETIC
A0000107,C001218,CURRENT,TRY,2016-09-11,OPEN,False,,CONTROLLED_SYNTHETIC
A0000108,C000547,CURRENT,TRY,2023-05-29,OPEN,False,,CONTROLLED_SYNTHETIC
A0000109,C000922,PAYMENT,TRY,2017-12-11,OPEN,True,2025-06-26 00:00:00,CONTROLLED_SYNTHETIC
A0000110,C001606,PAYMENT,TRY,2023-04-11,OPEN,False,,CONTROLLED_SYNTHETIC
A0000111,C000218,CURRENT,EUR,2014-11-27,OPEN,False,,CONTROLLED_SYNTHETIC
A0000112,C000114,SAVINGS,TRY,2020-09-29,OPEN,False,,CONTROLLED_SYNTHETIC
A0000113,C000688,SAVINGS,TRY,2018-05-24,OPEN,False,,CONTROLLED_SYNTHETIC
A0000114,C000174,BUSINESS,EUR,2016-02-29,OPEN,False,,CONTROLLED_SYNTHETIC
A0000115,C001074,SAVINGS,TRY,2019-10-11,OPEN,False,,CONTROLLED_SYNTHETIC
A0000116,C001556,CURRENT,TRY,2025-02-18,OPEN,False,,CONTROLLED_SYNTHETIC
A0000117,C000909,SAVINGS,TRY,2025-02-14,OPEN,False,,CONTROLLED_SYNTHETIC
A0000118,C000264,SAVINGS,USD,2021-03-07,OPEN,True,1769212800000000000,CONTROLLED_SYNTHETIC
A0000119,C001353,BUSINESS,TRY,2025-05-17,OPEN,True,1757635200000000000,CONTROLLED_SYNTHETIC
A0000120,C000860,PAYMENT,USD,2021-12-12,OPEN,False,,CONTROLLED_SYNTHETIC
A0000121,C000993,PAYMENT,TRY,2018-03-22,OPEN,False,,CONTROLLED_SYNTHETIC
A0000122,C000322,BUSINESS,TRY,2017-10-15,OPEN,False,,CONTROLLED_SYNTHETIC
A0000123,C001494,SAVINGS,TRY,2018-01-23,OPEN,False,,CONTROLLED_SYNTHETIC
A0000124,C001557,CURRENT,TRY,2025-09-04,OPEN,False,,CONTROLLED_SYNTHETIC
A0000125,C001656,SAVINGS,TRY,2017-05-10,OPEN,False,,CONTROLLED_SYNTHETIC
A0000126,C001555,CURRENT,EUR,2017-11-01,OPEN,False,,CONTROLLED_SYNTHETIC
A0000127,C001216,CURRENT,TRY,2015-12-14,OPEN,False,,CONTROLLED_SYNTHETIC
A0000128,C000849,CURRENT,TRY,2023-06-08,OPEN,False,,CONTROLLED_SYNTHETIC
A0000129,C000975,PAYMENT,EUR,2019-04-29,OPEN,False,,CONTROLLED_SYNTHETIC
A0000130,C000478,CURRENT,TRY,2019-02-06,OPEN,False,,CONTROLLED_SYNTHETIC
A0000131,C001244,CURRENT,TRY,2021-01-24,OPEN,False,,CONTROLLED_SYNTHETIC
A0000132,C001338,CURRENT,TRY,2024-05-05,OPEN,False,,CONTROLLED_SYNTHETIC
A0000133,C001359,CURRENT,TRY,2025-11-04,OPEN,False,,CONTROLLED_SYNTHETIC
A0000134,C001654,PAYMENT,TRY,2020-03-22,OPEN,False,,CONTROLLED_SYNTHETIC
A0000135,C001340,PAYMENT,USD,2015-11-22,OPEN,False,,CONTROLLED_SYNTHETIC
A0000136,C001274,PAYMENT,TRY,2015-01-21,OPEN,False,,CONTROLLED_SYNTHETIC
A0000137,C001449,PAYMENT,TRY,2024-10-11,OPEN,False,,CONTROLLED_SYNTHETIC
A0000138,C000045,SAVINGS,TRY,2023-08-27,OPEN,False,,CONTROLLED_SYNTHETIC
A0000139,C000769,SAVINGS,TRY,2020-02-26,OPEN,False,,CONTROLLED_SYNTHETIC
A0000140,C000411,CURRENT,TRY,2018-05-15,OPEN,False,,CONTROLLED_SYNTHETIC
A0000141,C000409,CURRENT,TRY,2021-08-31,OPEN,False,,CONTROLLED_SYNTHETIC
A0000142,C000142,CURRENT,TRY,2016-06-22,OPEN,False,,CONTROLLED_SYNTHETIC
A0000143,C001653,CURRENT,TRY,2024-11-24,OPEN,True,1753056000000000000,CONTROLLED_SYNTHETIC
A0000144,C000587,PAYMENT,TRY,2022-12-04,OPEN,False,,CONTROLLED_SYNTHETIC
A0000145,C000983,PAYMENT,TRY,2020-04-11,OPEN,False,,CONTROLLED_SYNTHETIC
A0000146,C000631,SAVINGS,TRY,2018-09-27,OPEN,False,,CONTROLLED_SYNTHETIC
A0000147,C001308,SAVINGS,USD,2021-04-07,OPEN,False,,CONTROLLED_SYNTHETIC
A0000148,C000573,PAYMENT,TRY,2015-03-12,OPEN,False,,CONTROLLED_SYNTHETIC
A0000149,C000546,CURRENT,TRY,2017-03-06,OPEN,False,,CONTROLLED_SYNTHETIC
A0000150,C000473,CURRENT,TRY,2015-07-02,OPEN,False,,CONTROLLED_SYNTHETIC
A0000151,C000107,PAYMENT,TRY,2015-02-19,OPEN,False,,CONTROLLED_SYNTHETIC
A0000152,C000692,SAVINGS,TRY,2023-06-23,OPEN,False,,CONTROLLED_SYNTHETIC
A0000153,C000329,SAVINGS,TRY,2023-09-06,OPEN,False,,CONTROLLED_SYNTHETIC
A0000154,C000949,SAVINGS,TRY,2023-06-05,OPEN,False,,CONTROLLED_SYNTHETIC
A0000155,C001318,CURRENT,TRY,2018-04-19,OPEN,False,,CONTROLLED_SYNTHETIC
A0000156,C001460,SAVINGS,TRY,2019-03-13,OPEN,False,,CONTROLLED_SYNTHETIC
A0000157,C001698,PAYMENT,TRY,2015-07-23,OPEN,False,,CONTROLLED_SYNTHETIC
A0000158,C001006,SAVINGS,TRY,2019-01-18,OPEN,False,,CONTROLLED_SYNTHETIC
A0000159,C001432,CURRENT,TRY,2018-07-22,OPEN,False,,CONTROLLED_SYNTHETIC
A0000160,C000479,CURRENT,TRY,2022-05-13,OPEN,True,1761955200000000000,CONTROLLED_SYNTHETIC
A0000161,C000421,CURRENT,TRY,2025-05-23,OPEN,False,,CONTROLLED_SYNTHETIC
A0000162,C000898,SAVINGS,TRY,2026-01-08,OPEN,False,,CONTROLLED_SYNTHETIC
A0000163,C001656,CURRENT,TRY,2024-01-02,OPEN,False,,CONTROLLED_SYNTHETIC
A0000164,C001519,SAVINGS,USD,2022-10-13,OPEN,False,,CONTROLLED_SYNTHETIC
A0000165,C000368,SAVINGS,TRY,2019-06-19,OPEN,False,,CONTROLLED_SYNTHETIC
A0000166,C001367,CURRENT,TRY,2020-03-27,OPEN,False,,CONTROLLED_SYNTHETIC
A0000167,C001303,CURRENT,TRY,2023-01-16,OPEN,False,,CONTROLLED_SYNTHETIC
A0000168,C001329,CURRENT,TRY,2019-07-08,OPEN,False,,CONTROLLED_SYNTHETIC
A0000169,C001252,PAYMENT,TRY,2023-09-07,OPEN,False,,CONTROLLED_SYNTHETIC
A0000170,C001511,SAVINGS,TRY,2025-09-07,OPEN,False,,CONTROLLED_SYNTHETIC
A0000171,C001603,CURRENT,TRY,2018-04-12,OPEN,False,,CONTROLLED_SYNTHETIC
A0000172,C000623,BUSINESS,TRY,2023-01-18,OPEN,False,,CONTROLLED_SYNTHETIC
A0000173,C000617,SAVINGS,TRY,2024-03-19,OPEN,False,,CONTROLLED_SYNTHETIC
A0000174,C000062,CURRENT,TRY,2025-04-06,OPEN,False,,CONTROLLED_SYNTHETIC
A0000175,C001441,PAYMENT,TRY,2017-11-24,OPEN,False,,CONTROLLED_SYNTHETIC
A0000176,C000442,BUSINESS,TRY,2015-03-27,OPEN,False,,CONTROLLED_SYNTHETIC
A0000177,C000921,CURRENT,TRY,2023-07-21,OPEN,False,,CONTROLLED_SYNTHETIC
A0000178,C001773,CURRENT,TRY,2015-03-29,OPEN,False,,CONTROLLED_SYNTHETIC
A0000179,C000061,CURRENT,TRY,2021-08-16,OPEN,False,,CONTROLLED_SYNTHETIC
A0000180,C001124,CURRENT,TRY,2015-11-12,OPEN,False,,CONTROLLED_SYNTHETIC
A0000181,C001198,CURRENT,USD,2019-02-10,OPEN,False,,CONTROLLED_SYNTHETIC
A0000182,C000530,CURRENT,TRY,2021-11-14,OPEN,False,,CONTROLLED_SYNTHETIC
A0000183,C000586,SAVINGS,USD,2017-10-27,OPEN,False,,CONTROLLED_SYNTHETIC
A0000184,C001301,CURRENT,TRY,2016-11-29,OPEN,False,,CONTROLLED_SYNTHETIC
A0000185,C001769,CURRENT,TRY,2025-08-04,OPEN,False,,CONTROLLED_SYNTHETIC
A0000186,C001648,BUSINESS,TRY,2021-12-10,OPEN,False,,CONTROLLED_SYNTHETIC
A0000187,C000328,PAYMENT,TRY,2018-07-12,OPEN,False,,CONTROLLED_SYNTHETIC
A0000188,C000008,CURRENT,TRY,2017-12-28,OPEN,False,,CONTROLLED_SYNTHETIC
A0000189,C001793,SAVINGS,EUR,2020-11-27,OPEN,False,,CONTROLLED_SYNTHETIC
A0000190,C001026,CURRENT,TRY,2026-01-17,OPEN,True,1754611200000000000,CONTROLLED_SYNTHETIC
A0000191,C001484,SAVINGS,EUR,2019-11-07,OPEN,False,,CONTROLLED_SYNTHETIC
A0000192,C000893,BUSINESS,TRY,2020-12-16,OPEN,False,,CONTROLLED_SYNTHETIC
A0000193,C000622,SAVINGS,TRY,2022-03-21,OPEN,False,,CONTROLLED_SYNTHETIC
A0000194,C001147,CURRENT,TRY,2019-11-08,OPEN,False,,CONTROLLED_SYNTHETIC
A0000195,C000152,PAYMENT,TRY,2024-09-18,OPEN,False,,CONTROLLED_SYNTHETIC
A0000196,C000674,SAVINGS,TRY,2023-05-25,OPEN,False,,CONTROLLED_SYNTHETIC
A0000197,C000457,CURRENT,TRY,2019-07-28,OPEN,False,,CONTROLLED_SYNTHETIC
A0000198,C001698,SAVINGS,TRY,2019-12-07,OPEN,True,1735776000000000000,CONTROLLED_SYNTHETIC
A0000199,C000791,CURRENT,TRY,2016-08-23,OPEN,False,,CONTROLLED_SYNTHETIC
A0000200,C000656,CURRENT,TRY,2026-02-09,OPEN,False,,CONTROLLED_SYNTHETIC
A0000201,C000119,CURRENT,TRY,2019-12-22,OPEN,False,,CONTROLLED_SYNTHETIC
A0000202,C001447,SAVINGS,TRY,2022-05-05,OPEN,False,,CONTROLLED_SYNTHETIC
A0000203,C001652,CURRENT,TRY,2016-07-06,OPEN,False,,CONTROLLED_SYNTHETIC
A0000204,C000262,BUSINESS,TRY,2025-07-10,OPEN,False,,CONTROLLED_SYNTHETIC
A0000205,C000502,SAVINGS,TRY,2024-05-29,OPEN,False,,CONTROLLED_SYNTHETIC
A0000206,C001325,SAVINGS,USD,2017-02-13,OPEN,False,,CONTROLLED_SYNTHETIC
A0000207,C001386,PAYMENT,TRY,2019-08-23,OPEN,False,,CONTROLLED_SYNTHETIC
A0000208,C000441,PAYMENT,USD,2024-07-01,OPEN,False,,CONTROLLED_SYNTHETIC
A0000209,C001456,CURRENT,TRY,2021-10-18,OPEN,False,,CONTROLLED_SYNTHETIC
A0000210,C001693,SAVINGS,TRY,2015-04-10,OPEN,False,,CONTROLLED_SYNTHETIC
A0000211,C000345,SAVINGS,TRY,2021-08-16,OPEN,False,,CONTROLLED_SYNTHETIC
A0000212,C000366,SAVINGS,TRY,2015-02-21,OPEN,False,,CONTROLLED_SYNTHETIC
A0000213,C000286,SAVINGS,TRY,2023-07-24,OPEN,False,,CONTROLLED_SYNTHETIC
A0000214,C001126,CURRENT,TRY,2019-02-07,OPEN,True,1755129600000000000,CONTROLLED_SYNTHETIC
A0000215,C000946,CURRENT,TRY,2015-12-21,OPEN,False,,CONTROLLED_SYNTHETIC
A0000216,C001204,SAVINGS,TRY,2024-03-21,OPEN,False,,CONTROLLED_SYNTHETIC
A0000217,C000467,SAVINGS,TRY,2023-11-23,OPEN,False,,CONTROLLED_SYNTHETIC
A0000218,C001743,PAYMENT,TRY,2022-01-22,OPEN,False,,CONTROLLED_SYNTHETIC
A0000219,C000969,PAYMENT,TRY,2015-02-22,OPEN,False,,CONTROLLED_SYNTHETIC
A0000220,C000326,CURRENT,TRY,2025-12-11,OPEN,False,,CONTROLLED_SYNTHETIC
A0000221,C000446,PAYMENT,TRY,2017-08-20,OPEN,False,,CONTROLLED_SYNTHETIC
A0000222,C000811,PAYMENT,TRY,2017-05-31,OPEN,False,,CONTROLLED_SYNTHETIC
A0000223,C000926,PAYMENT,TRY,2025-02-17,OPEN,False,,CONTROLLED_SYNTHETIC
A0000224,C000470,BUSINESS,TRY,2016-03-14,OPEN,False,,CONTROLLED_SYNTHETIC
A0000225,C000223,PAYMENT,TRY,2021-08-10,OPEN,False,,CONTROLLED_SYNTHETIC
A0000226,C000468,BUSINESS,TRY,2015-03-12,OPEN,False,,CONTROLLED_SYNTHETIC
A0000227,C000979,CURRENT,TRY,2022-10-11,OPEN,True,1723334400000000000,CONTROLLED_SYNTHETIC
A0000228,C001259,SAVINGS,TRY,2021-12-27,OPEN,False,,CONTROLLED_SYNTHETIC
A0000229,C000766,CURRENT,TRY,2015-05-06,OPEN,False,,CONTROLLED_SYNTHETIC
A0000230,C000497,PAYMENT,TRY,2023-05-24,OPEN,False,,CONTROLLED_SYNTHETIC
A0000231,C000574,CURRENT,TRY,2024-03-25,OPEN,False,,CONTROLLED_SYNTHETIC
A0000232,C000060,CURRENT,TRY,2025-05-06,OPEN,False,,CONTROLLED_SYNTHETIC
A0000233,C001164,CURRENT,TRY,2018-03-23,OPEN,False,,CONTROLLED_SYNTHETIC
A0000234,C000965,SAVINGS,TRY,2019-09-17,OPEN,False,,CONTROLLED_SYNTHETIC
A0000235,C000944,CURRENT,TRY,2017-05-16,OPEN,False,,CONTROLLED_SYNTHETIC
A0000236,C000482,CURRENT,EUR,2026-01-07,OPEN,True,1748563200000000000,CONTROLLED_SYNTHETIC
A0000237,C000838,SAVINGS,TRY,2018-01-08,OPEN,False,,CONTROLLED_SYNTHETIC
A0000238,C000367,CURRENT,TRY,2016-02-13,OPEN,False,,CONTROLLED_SYNTHETIC
A0000239,C000769,CURRENT,TRY,2015-11-10,OPEN,False,,CONTROLLED_SYNTHETIC
A0000240,C001783,PAYMENT,TRY,2020-08-31,OPEN,False,,CONTROLLED_SYNTHETIC
A0000241,C000279,SAVINGS,TRY,2023-10-06,OPEN,False,,CONTROLLED_SYNTHETIC
A0000242,C000642,CURRENT,TRY,2017-04-26,OPEN,False,,CONTROLLED_SYNTHETIC
A0000243,C001245,CURRENT,TRY,2019-06-11,OPEN,False,,CONTROLLED_SYNTHETIC
A0000244,C000588,BUSINESS,TRY,2016-12-25,OPEN,False,,CONTROLLED_SYNTHETIC
A0000245,C000198,CURRENT,TRY,2025-02-21,OPEN,False,,CONTROLLED_SYNTHETIC
A0000246,C000847,CURRENT,EUR,2017-01-14,OPEN,False,,CONTROLLED_SYNTHETIC
A0000247,C000797,CURRENT,TRY,2024-05-10,OPEN,False,,CONTROLLED_SYNTHETIC
A0000248,C000384,SAVINGS,EUR,2019-10-14,OPEN,False,,CONTROLLED_SYNTHETIC
A0000249,C000382,PAYMENT,TRY,2019-06-02,OPEN,True,1743984000000000000,CONTROLLED_SYNTHETIC
A0000250,C001593,CURRENT,EUR,2018-12-23,OPEN,False,,CONTROLLED_SYNTHETIC
A0000251,C000342,PAYMENT,TRY,2024-07-28,OPEN,False,,CONTROLLED_SYNTHETIC
A0000252,C000724,CURRENT,TRY,2014-12-11,OPEN,False,,CONTROLLED_SYNTHETIC
A0000253,C000837,CURRENT,EUR,2024-09-11,OPEN,False,,CONTROLLED_SYNTHETIC
A0000254,C001624,SAVINGS,TRY,2017-12-30,OPEN,False,,CONTROLLED_SYNTHETIC
A0000255,C000100,CURRENT,TRY,2022-06-07,OPEN,True,1722470400000000000,CONTROLLED_SYNTHETIC
A0000256,C000625,BUSINESS,TRY,2020-11-28,OPEN,False,,CONTROLLED_SYNTHETIC
A0000257,C001317,PAYMENT,TRY,2023-11-03,OPEN,False,,CONTROLLED_SYNTHETIC
A0000258,C001169,CURRENT,TRY,2016-10-20,OPEN,False,,CONTROLLED_SYNTHETIC
A0000259,C001024,CURRENT,TRY,2023-11-27,OPEN,False,,CONTROLLED_SYNTHETIC
A0000260,C000885,SAVINGS,TRY,2018-06-16,OPEN,False,,CONTROLLED_SYNTHETIC
A0000261,C000591,SAVINGS,TRY,2022-11-22,OPEN,False,,CONTROLLED_SYNTHETIC
A0000262,C000044,PAYMENT,TRY,2023-06-08,OPEN,False,,CONTROLLED_SYNTHETIC
A0000263,C000779,SAVINGS,TRY,2018-04-27,OPEN,False,,CONTROLLED_SYNTHETIC
A0000264,C000572,CURRENT,TRY,2021-03-21,OPEN,True,1733616000000000000,CONTROLLED_SYNTHETIC
A0000265,C000859,PAYMENT,TRY,2015-05-22,OPEN,False,,CONTROLLED_SYNTHETIC
A0000266,C000956,CURRENT,USD,2026-02-01,OPEN,True,2025-06-26 00:00:00,CONTROLLED_SYNTHETIC
