customer_id,geography_score,pep_score,watchlist_score,occupation_score,channel_score,control_gap_score,kyc_risk_score,kyc_risk_band,kyc_overdue_flag,risk_reason
C000001,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,False,occupation=10; channel=8; geography=5
C000063,5.000000,0.000000,0.000000,2.000000,2.000000,12.000000,21.000000,LOW,True,KYC control gap=12; geography=5; occupation=2
C000064,5.000000,0.000000,0.000000,2.000000,2.000000,12.000000,21.000000,LOW,True,KYC control gap=12; geography=5; occupation=2
C000065,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,False,occupation=10; geography=5; channel=2
C000066,5.000000,0.000000,0.000000,20.000000,8.000000,0.000000,33.000000,MEDIUM,True,occupation=20; channel=8; geography=5
C000067,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,False,occupation=10; geography=5; channel=2
C000068,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000069,5.000000,22.000000,0.000000,2.000000,2.000000,0.000000,31.000000,MEDIUM,False,PEP=22; geography=5; occupation=2
C000070,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,True,channel=8; geography=5; occupation=2
C000071,4.000000,0.000000,0.000000,2.000000,2.000000,0.000000,8.000000,LOW,True,geography=4; occupation=2; channel=2
C000072,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000073,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,False,occupation=10; geography=5; channel=2
C000074,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,True,occupation=10; channel=8; geography=5
C000075,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000076,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,True,occupation=10; geography=5; channel=2
C000077,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,False,occupation=10; geography=5; channel=2
C000078,5.000000,0.000000,0.000000,20.000000,8.000000,0.000000,33.000000,MEDIUM,True,occupation=20; channel=8; geography=5
C000079,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000080,5.000000,22.000000,0.000000,2.000000,2.000000,0.000000,31.000000,MEDIUM,False,PEP=22; geography=5; occupation=2
C000081,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,False,occupation=10; channel=8; geography=5
C000082,18.000000,0.000000,0.000000,20.000000,2.000000,0.000000,40.000000,MEDIUM,False,occupation=20; geography=18; channel=2
C000083,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,True,occupation=10; geography=5; channel=2
C000084,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,True,occupation=10; geography=5; channel=2
C000085,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000086,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,True,occupation=10; channel=8; geography=5
C000087,5.000000,0.000000,0.000000,20.000000,5.000000,0.000000,30.000000,MEDIUM,True,occupation=20; geography=5; channel=5
C000088,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000089,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000090,6.000000,0.000000,0.000000,10.000000,8.000000,0.000000,24.000000,LOW,False,occupation=10; channel=8; geography=6
C000091,14.000000,0.000000,0.000000,2.000000,2.000000,0.000000,18.000000,LOW,True,geography=14; occupation=2; channel=2
C000092,5.000000,0.000000,0.000000,20.000000,2.000000,0.000000,27.000000,LOW,True,occupation=20; geography=5; channel=2
C000093,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,True,occupation=10; geography=5; channel=2
C000094,14.000000,0.000000,0.000000,2.000000,5.000000,0.000000,21.000000,LOW,False,geography=14; channel=5; occupation=2
C000095,14.000000,0.000000,0.000000,2.000000,2.000000,0.000000,18.000000,LOW,True,geography=14; occupation=2; channel=2
C000096,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000097,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,True,occupation=10; geography=5; channel=2
C000098,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000099,14.000000,0.000000,0.000000,2.000000,2.000000,0.000000,18.000000,LOW,True,geography=14; occupation=2; channel=2
C000100,16.000000,0.000000,0.000000,2.000000,2.000000,0.000000,20.000000,LOW,True,geography=16; occupation=2; channel=2
C000101,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000102,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000103,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000104,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,False,occupation=10; channel=8; geography=5
C000105,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000106,18.000000,0.000000,0.000000,2.000000,2.000000,0.000000,22.000000,LOW,False,geography=18; occupation=2; channel=2
C000107,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,True,occupation=10; channel=8; geography=5
C000108,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000109,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,True,occupation=10; channel=8; geography=5
C000110,5.000000,0.000000,0.000000,2.000000,2.000000,12.000000,21.000000,LOW,True,KYC control gap=12; geography=5; occupation=2
C000111,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000112,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,False,occupation=10; channel=8; geography=5
C000113,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,True,channel=8; geography=5; occupation=2
C000114,16.000000,0.000000,0.000000,2.000000,2.000000,0.000000,20.000000,LOW,False,geography=16; occupation=2; channel=2
C000115,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000116,18.000000,0.000000,0.000000,10.000000,5.000000,0.000000,33.000000,MEDIUM,True,geography=18; occupation=10; channel=5
C000117,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,True,channel=8; geography=5; occupation=2
C000118,5.000000,0.000000,0.000000,2.000000,5.000000,0.000000,12.000000,LOW,True,geography=5; channel=5; occupation=2
C000119,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,True,channel=8; geography=5; occupation=2
C000120,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000121,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,True,channel=8; geography=5; occupation=2
C000122,5.000000,0.000000,0.000000,2.000000,2.000000,12.000000,21.000000,LOW,False,KYC control gap=12; geography=5; occupation=2
C000123,5.000000,0.000000,0.000000,20.000000,2.000000,0.000000,27.000000,LOW,True,occupation=20; geography=5; channel=2
C000124,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,True,channel=8; geography=5; occupation=2
C000125,5.000000,0.000000,0.000000,2.000000,5.000000,0.000000,12.000000,LOW,False,geography=5; channel=5; occupation=2
C000126,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,False,occupation=10; channel=8; geography=5
C000127,5.000000,0.000000,0.000000,2.000000,5.000000,0.000000,12.000000,LOW,False,geography=5; channel=5; occupation=2
C000128,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,False,occupation=10; channel=8; geography=5
C000129,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,False,occupation=10; channel=8; geography=5
C000130,5.000000,0.000000,0.000000,10.000000,5.000000,0.000000,20.000000,LOW,True,occupation=10; geography=5; channel=5
C000131,5.000000,0.000000,0.000000,20.000000,8.000000,0.000000,33.000000,MEDIUM,True,occupation=20; channel=8; geography=5
C000132,14.000000,0.000000,0.000000,2.000000,2.000000,0.000000,18.000000,LOW,True,geography=14; occupation=2; channel=2
C000133,16.000000,0.000000,0.000000,10.000000,5.000000,0.000000,31.000000,MEDIUM,True,geography=16; occupation=10; channel=5
C000134,18.000000,0.000000,0.000000,2.000000,2.000000,0.000000,22.000000,LOW,True,geography=18; occupation=2; channel=2
C000135,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000136,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,True,occupation=10; geography=5; channel=2
C000137,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,True,channel=8; geography=5; occupation=2
C000138,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000139,5.000000,22.000000,0.000000,2.000000,8.000000,0.000000,37.000000,MEDIUM,True,PEP=22; channel=8; geography=5
C000140,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,True,occupation=10; geography=5; channel=2
C000141,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,True,channel=8; geography=5; occupation=2
C000142,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000143,5.000000,0.000000,0.000000,10.000000,5.000000,0.000000,20.000000,LOW,True,occupation=10; geography=5; channel=5
C000144,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000145,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000146,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000147,5.000000,0.000000,0.000000,2.000000,5.000000,0.000000,12.000000,LOW,True,geography=5; channel=5; occupation=2
C000148,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000149,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,False,occupation=10; geography=5; channel=2
C000150,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,False,occupation=10; geography=5; channel=2
C000151,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,False,occupation=10; geography=5; channel=2
C000152,4.000000,0.000000,0.000000,2.000000,2.000000,0.000000,8.000000,LOW,False,geography=4; occupation=2; channel=2
C000153,5.000000,0.000000,0.000000,10.000000,2.000000,12.000000,29.000000,MEDIUM,True,KYC control gap=12; occupation=10; geography=5
C000154,5.000000,22.000000,0.000000,2.000000,2.000000,0.000000,31.000000,MEDIUM,False,PEP=22; geography=5; occupation=2
C000155,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000156,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,True,occupation=10; geography=5; channel=2
C000157,5.000000,0.000000,0.000000,2.000000,5.000000,0.000000,12.000000,LOW,False,geography=5; channel=5; occupation=2
C000158,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,True,occupation=10; geography=5; channel=2
C000159,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,True,occupation=10; geography=5; channel=2
C000160,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000161,18.000000,0.000000,0.000000,2.000000,8.000000,0.000000,28.000000,MEDIUM,False,geography=18; channel=8; occupation=2
C000162,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,True,channel=8; geography=5; occupation=2
C000163,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000164,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000165,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000166,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000167,14.000000,0.000000,0.000000,10.000000,2.000000,0.000000,26.000000,LOW,False,geography=14; occupation=10; channel=2
C000168,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000169,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000170,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,False,occupation=10; channel=8; geography=5
C000171,5.000000,0.000000,0.000000,20.000000,8.000000,0.000000,33.000000,MEDIUM,True,occupation=20; channel=8; geography=5
C000172,5.000000,0.000000,0.000000,2.000000,5.000000,0.000000,12.000000,LOW,True,geography=5; channel=5; occupation=2
C000173,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,False,occupation=10; geography=5; channel=2
C000174,5.000000,22.000000,0.000000,10.000000,2.000000,0.000000,39.000000,MEDIUM,False,PEP=22; occupation=10; geography=5
C000175,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000176,5.000000,0.000000,0.000000,2.000000,5.000000,0.000000,12.000000,LOW,False,geography=5; channel=5; occupation=2
C000177,5.000000,22.000000,0.000000,2.000000,8.000000,0.000000,37.000000,MEDIUM,True,PEP=22; channel=8; geography=5
C000178,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,True,occupation=10; channel=8; geography=5
C000179,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,True,occupation=10; channel=8; geography=5
C000180,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,True,occupation=10; channel=8; geography=5
C000181,18.000000,22.000000,0.000000,2.000000,2.000000,0.000000,44.000000,MEDIUM,False,PEP=22; geography=18; occupation=2
C000182,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000183,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000184,4.000000,0.000000,0.000000,2.000000,2.000000,0.000000,8.000000,LOW,True,geography=4; occupation=2; channel=2
C000185,18.000000,0.000000,0.000000,10.000000,2.000000,25.000000,55.000000,HIGH,True,KYC control gap=25; geography=18; occupation=10
C000186,5.000000,0.000000,0.000000,2.000000,5.000000,0.000000,12.000000,LOW,True,geography=5; channel=5; occupation=2
C000187,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,False,occupation=10; channel=8; geography=5
C000188,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000189,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,True,channel=8; geography=5; occupation=2
C000190,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,False,occupation=10; geography=5; channel=2
C000191,5.000000,0.000000,0.000000,20.000000,8.000000,0.000000,33.000000,MEDIUM,True,occupation=20; channel=8; geography=5
C000192,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000193,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000194,4.000000,0.000000,0.000000,10.000000,8.000000,0.000000,22.000000,LOW,False,occupation=10; channel=8; geography=4
C000195,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000196,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000197,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,True,occupation=10; channel=8; geography=5
C000198,6.000000,0.000000,0.000000,2.000000,8.000000,0.000000,16.000000,LOW,False,channel=8; geography=6; occupation=2
C000199,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,True,occupation=10; channel=8; geography=5
C000200,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000201,5.000000,0.000000,0.000000,20.000000,8.000000,0.000000,33.000000,MEDIUM,True,occupation=20; channel=8; geography=5
C000202,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000203,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000204,5.000000,22.000000,0.000000,2.000000,2.000000,0.000000,31.000000,MEDIUM,True,PEP=22; geography=5; occupation=2
C000205,5.000000,0.000000,0.000000,2.000000,5.000000,0.000000,12.000000,LOW,True,geography=5; channel=5; occupation=2
C000206,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,False,occupation=10; channel=8; geography=5
C000207,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000208,18.000000,0.000000,0.000000,2.000000,2.000000,0.000000,22.000000,LOW,True,geography=18; occupation=2; channel=2
C000209,5.000000,0.000000,0.000000,2.000000,5.000000,0.000000,12.000000,LOW,True,geography=5; channel=5; occupation=2
C000210,5.000000,0.000000,0.000000,10.000000,5.000000,12.000000,32.000000,MEDIUM,True,KYC control gap=12; occupation=10; geography=5
C000211,6.000000,0.000000,0.000000,20.000000,8.000000,12.000000,46.000000,HIGH,True,occupation=20; KYC control gap=12; channel=8
C000212,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000213,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000214,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000215,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,True,occupation=10; geography=5; channel=2
C000216,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,True,occupation=10; channel=8; geography=5
C000217,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,True,channel=8; geography=5; occupation=2
C000218,14.000000,0.000000,0.000000,2.000000,8.000000,0.000000,24.000000,LOW,False,geography=14; channel=8; occupation=2
C000219,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000220,14.000000,0.000000,0.000000,2.000000,8.000000,0.000000,24.000000,LOW,True,geography=14; channel=8; occupation=2
C000221,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,False,occupation=10; channel=8; geography=5
C000222,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,True,channel=8; geography=5; occupation=2
C000223,5.000000,0.000000,0.000000,20.000000,2.000000,0.000000,27.000000,LOW,False,occupation=20; geography=5; channel=2
