customer_id,in_degree,out_degree,total_degree,pagerank,component_size,short_cycle_member,degree_percentile,pagerank_percentile,component_percentile,graph_risk_score
C000077,13,17,30,0.000440,1800,False,55.527778,28.833333,50.027778,34.530000
C000078,14,13,27,0.000466,1800,False,37.722222,35.777778,50.027778,30.730000
C000079,18,15,33,0.000605,1800,False,69.666667,68.500000,50.027778,53.360000
C000080,17,25,42,0.000502,1800,False,90.694444,45.500000,50.027778,52.670000
C000081,17,15,32,0.000524,1800,False,65.777778,50.166667,50.027778,45.580000
C000082,12,16,28,0.000523,1800,False,43.750000,49.944444,50.027778,37.800000
C000083,21,15,36,0.000729,1800,False,79.055556,85.777778,50.027778,62.690000
C000084,11,19,30,0.000737,1800,True,55.527778,86.555556,50.027778,74.730000
C000085,13,13,26,0.000332,1800,False,32.611111,7.666667,50.027778,19.100000
C000086,18,13,31,0.000507,1800,False,60.888889,46.388889,50.027778,42.550000
C000087,14,14,28,0.002237,1800,True,43.750000,99.833333,50.027778,75.260000
C000088,15,32,47,0.000464,1800,False,95.055556,34.944444,50.027778,50.500000
C000089,14,13,27,0.000790,1800,False,37.722222,91.500000,50.027778,50.230000
C000090,14,14,28,0.000622,1800,False,43.750000,72.333333,50.027778,45.630000
C000091,9,15,24,0.000418,1800,False,22.416667,23.500000,50.027778,21.070000
C000092,23,9,32,0.000664,1800,False,65.777778,78.888889,50.027778,55.640000
C000093,13,17,30,0.000480,1800,False,55.527778,39.888889,50.027778,38.400000
C000094,14,8,22,0.000476,1800,False,13.944444,38.944444,50.027778,23.510000
C000095,13,7,20,0.000779,1800,False,8.277778,90.722222,50.027778,39.650000
C000096,12,14,26,0.000354,1800,False,32.611111,10.777778,50.027778,20.190000
C000097,10,12,22,0.000373,1800,False,13.944444,14.555556,50.027778,14.980000
C000098,15,26,41,0.000643,1800,False,89.222222,75.388889,50.027778,62.620000
C000099,13,11,24,0.000393,1800,False,22.416667,18.611111,50.027778,19.360000
C000100,15,0,15,0.000626,1800,False,2.194444,72.944444,50.027778,31.300000
C000101,17,11,28,0.000570,1800,False,43.750000,61.111111,50.027778,41.700000
C000102,15,12,27,0.000599,1800,False,37.722222,67.555556,50.027778,41.850000
C000103,14,16,30,0.000498,1800,False,55.527778,44.277778,50.027778,39.930000
C000104,15,19,34,0.000463,1800,False,73.000000,34.500000,50.027778,42.630000
C000105,13,17,30,0.000570,1800,False,55.527778,60.944444,50.027778,45.770000
C000106,15,0,15,0.000328,1800,False,2.194444,7.277778,50.027778,8.320000
C000107,15,14,29,0.000574,1800,False,49.861111,62.277778,50.027778,44.250000
C000108,12,12,24,0.000482,1800,False,22.416667,40.333333,50.027778,26.970000
C000109,9,13,22,0.000436,1800,False,13.944444,27.833333,50.027778,19.620000
C000110,11,11,22,0.000360,1800,False,13.944444,12.000000,50.027778,14.080000
C000111,13,14,27,0.000439,1800,False,37.722222,28.333333,50.027778,28.120000
C000112,16,10,26,0.000451,1800,False,32.611111,31.500000,50.027778,27.440000
C000113,13,19,32,0.000652,1800,False,65.777778,77.111111,50.027778,55.010000
C000114,16,11,27,0.000559,1800,False,37.722222,58.444444,50.027778,38.660000
C000115,23,18,41,0.000605,1800,False,89.222222,68.444444,50.027778,60.190000
C000116,7,13,20,0.000227,1800,False,8.277778,0.500000,50.027778,8.080000
C000117,19,17,36,0.000595,1800,False,79.055556,66.611111,50.027778,55.990000
C000118,12,7,19,0.000532,1800,False,6.166667,52.055556,50.027778,25.380000
C000119,16,16,32,0.000491,1800,False,65.777778,42.500000,50.027778,42.900000
C000120,18,0,18,0.000524,1800,False,4.666667,50.111111,50.027778,24.180000
C000121,17,11,28,0.000644,1800,False,43.750000,75.666667,50.027778,46.800000
C000122,20,0,20,0.000711,1800,False,8.277778,84.166667,50.027778,37.360000
C000123,12,6,18,0.000327,1800,False,4.666667,7.111111,50.027778,9.120000
C000124,11,11,22,0.000859,1800,False,13.944444,94.500000,50.027778,42.960000
C000125,18,31,49,0.000543,1800,False,96.527778,54.888889,50.027778,58.000000
C000126,13,12,25,0.000420,1800,False,27.694444,24.277778,50.027778,23.190000
C000127,12,16,28,0.000520,1800,False,43.750000,49.111111,50.027778,37.500000
C000128,10,15,25,0.000453,1800,False,27.694444,32.055556,50.027778,25.920000
C000129,15,7,22,0.000481,1800,False,13.944444,40.166667,50.027778,23.940000
C000130,16,11,27,0.000465,1800,False,37.722222,35.666667,50.027778,30.690000
C000131,12,14,26,0.000377,1800,False,32.611111,15.222222,50.027778,21.740000
C000132,21,11,32,0.000782,1800,False,65.777778,91.000000,50.027778,59.880000
C000133,13,16,29,0.000376,1800,False,49.861111,14.944444,50.027778,27.680000
C000134,13,13,26,0.000420,1800,False,32.611111,24.444444,50.027778,24.970000
C000135,14,11,25,0.000561,1800,False,27.694444,58.888889,50.027778,35.310000
C000136,15,12,27,0.000556,1800,False,37.722222,57.666667,50.027778,38.390000
C000137,10,12,22,0.000358,1800,False,13.944444,11.500000,50.027778,13.910000
C000138,18,11,29,0.000612,1800,False,49.861111,69.833333,50.027778,46.900000
C000139,15,22,37,0.000763,1800,False,81.527778,89.000000,50.027778,64.690000
C000140,13,14,27,0.000359,1800,False,37.722222,11.722222,50.027778,22.310000
C000141,14,10,24,0.000499,1800,False,22.416667,44.722222,50.027778,28.500000
C000142,18,32,50,0.000746,1800,False,97.194444,87.555556,50.027778,69.670000
C000143,13,36,49,0.000709,1800,False,96.527778,84.000000,50.027778,68.190000
C000144,17,31,48,0.000416,1800,False,95.861111,23.111111,50.027778,46.640000
C000145,24,15,39,0.000625,1800,False,85.972222,72.666667,50.027778,60.530000
C000146,12,7,19,0.000384,1800,False,6.166667,17.000000,50.027778,13.110000
C000147,10,16,26,0.000570,1800,False,32.611111,60.888889,50.027778,37.730000
C000148,17,0,17,0.000618,1800,False,3.583333,71.222222,50.027778,31.180000
C000149,17,20,37,0.000799,1800,False,81.527778,92.055556,50.027778,65.760000
C000150,13,14,27,0.000356,1800,False,37.722222,11.055556,50.027778,22.080000
C000151,14,26,40,0.000499,1800,False,87.722222,44.611111,50.027778,51.320000
C000152,17,14,31,0.000537,1800,False,60.888889,53.055556,50.027778,44.880000
C000153,10,0,10,0.000325,1800,False,0.416667,6.944444,50.027778,7.580000
C000154,19,12,31,0.000755,1800,False,60.888889,88.166667,50.027778,57.170000
C000155,17,0,17,0.000928,1800,False,3.583333,96.888889,50.027778,40.170000
C000156,12,22,34,0.000436,1800,False,73.000000,27.944444,50.027778,40.330000
C000157,18,15,33,0.000663,1800,False,69.666667,78.611111,50.027778,56.900000
C000158,23,0,23,0.000800,1800,False,17.750000,92.111111,50.027778,43.450000
C000159,13,8,21,0.000496,1800,False,10.777778,43.944444,50.027778,24.160000
C000160,20,11,31,0.000553,1800,False,60.888889,57.277778,50.027778,46.360000
C000161,12,28,40,0.000402,1800,False,87.722222,20.555556,50.027778,42.900000
C000162,16,13,29,0.000641,1800,False,49.861111,75.166667,50.027778,48.760000
C000163,18,21,39,0.000858,1800,False,85.972222,94.444444,50.027778,68.150000
C000164,19,26,45,0.000904,1800,False,93.277778,96.000000,50.027778,71.250000
C000165,10,17,27,0.000431,1800,False,37.722222,26.777778,50.027778,27.580000
C000166,20,0,20,0.000690,1800,False,8.277778,81.777778,50.027778,36.520000
C000167,16,12,28,0.000671,1800,False,43.750000,79.666667,50.027778,48.200000
C000168,13,25,38,0.000427,1800,False,83.888889,25.833333,50.027778,43.410000
C000169,18,19,37,0.000694,1800,False,81.527778,82.333333,50.027778,62.350000
C000170,17,12,29,0.000739,1800,False,49.861111,86.611111,50.027778,52.770000
C000171,22,11,33,0.000770,1800,False,69.666667,89.666667,50.027778,60.770000
C000172,17,10,27,0.000507,1800,False,37.722222,46.333333,50.027778,34.420000
C000173,13,9,22,0.000345,1800,False,13.944444,9.333333,50.027778,13.150000
C000174,9,15,24,0.000483,1800,False,22.416667,40.500000,50.027778,27.020000
C000175,12,11,23,0.000786,1800,False,17.750000,91.222222,50.027778,43.140000
C000176,17,24,41,0.000440,1800,False,89.222222,28.888889,50.027778,46.340000
C000177,13,24,37,0.000553,1800,False,81.527778,57.388889,50.027778,53.620000
C000178,20,11,31,0.000801,1800,False,60.888889,92.277778,50.027778,58.610000
C000179,14,18,32,0.000403,1800,False,65.777778,20.777778,50.027778,35.300000
C000180,15,8,23,0.000419,1800,False,17.750000,24.055556,50.027778,19.630000
C000181,16,11,27,0.000379,1800,False,37.722222,15.777778,50.027778,23.730000
C000182,23,17,40,0.000816,1800,False,87.722222,92.777778,50.027778,68.180000
C000183,27,11,38,0.000702,1800,False,83.888889,83.111111,50.027778,63.450000
C000184,12,12,24,0.000594,1800,False,22.416667,66.222222,50.027778,36.030000
C000185,13,12,25,0.000384,1800,False,27.694444,16.944444,50.027778,20.630000
C000186,13,14,27,0.000502,1800,False,37.722222,45.444444,50.027778,34.110000
C000187,12,12,24,0.000371,1800,False,22.416667,14.166667,50.027778,17.810000
C000188,16,14,30,0.000575,1800,False,55.527778,62.388889,50.027778,46.270000
C000189,12,13,25,0.000450,1800,False,27.694444,31.388889,50.027778,25.680000
C000190,16,15,31,0.000565,1800,False,60.888889,59.666667,50.027778,47.200000
C000191,13,18,31,0.000393,1800,False,60.888889,18.500000,50.027778,32.790000
C000192,14,15,29,0.000449,1800,False,49.861111,31.000000,50.027778,33.300000
C000193,13,15,28,0.000595,1800,False,43.750000,66.666667,50.027778,43.650000
C000194,17,24,41,0.000604,1800,False,89.222222,68.166667,50.027778,60.090000
C000195,17,17,34,0.000757,1800,False,73.000000,88.500000,50.027778,61.530000
C000196,11,9,20,0.000539,1800,False,8.277778,53.833333,50.027778,26.740000
C000197,19,24,43,0.000673,1800,False,91.777778,79.888889,50.027778,65.090000
C000198,8,29,37,0.000422,1800,False,81.527778,24.888889,50.027778,42.250000
C000199,19,8,27,0.000850,1800,False,37.722222,94.166667,50.027778,51.160000
C000200,14,12,26,0.000493,1800,False,32.611111,43.055556,50.027778,31.490000
C000201,13,26,39,0.000763,1800,False,85.972222,88.944444,50.027778,66.220000
C000202,14,39,53,0.000406,1800,False,98.194444,21.611111,50.027778,46.930000
C000203,12,8,20,0.000427,1800,False,8.277778,26.055556,50.027778,17.020000
C000204,15,12,27,0.000446,1800,False,37.722222,30.055556,50.027778,28.720000
C000205,8,26,34,0.000507,1800,False,73.000000,46.500000,50.027778,46.830000
C000206,8,16,24,0.000312,1800,False,22.416667,5.833333,50.027778,14.890000
C000207,16,16,32,0.000433,1800,False,65.777778,27.222222,50.027778,37.550000
C000208,15,13,28,0.000584,1800,False,43.750000,63.888889,50.027778,42.680000
C000209,19,0,19,0.000757,1800,False,6.166667,88.444444,50.027778,38.120000
C000210,13,33,46,0.000366,1800,False,94.138889,13.111111,50.027778,42.540000
C000211,16,28,44,0.000487,1800,False,92.500000,41.333333,50.027778,51.840000
C000212,16,9,25,0.000442,1800,False,27.694444,29.444444,50.027778,25.000000
C000213,16,17,33,0.000571,1800,False,69.666667,61.444444,50.027778,50.890000
C000214,10,34,44,0.000287,1800,False,92.500000,3.500000,50.027778,38.600000
C000215,12,11,23,0.000340,1800,False,17.750000,8.666667,50.027778,14.250000
C000216,15,16,31,0.000486,1800,False,60.888889,41.111111,50.027778,40.700000
C000217,15,25,40,0.000546,1800,False,87.722222,55.722222,50.027778,55.210000
C000218,23,12,35,0.000894,1800,False,76.305556,95.500000,50.027778,65.130000
C000219,16,12,28,0.000541,1800,False,43.750000,54.333333,50.027778,39.330000
C000220,20,30,50,0.000705,1800,False,97.194444,83.500000,50.027778,68.250000
C000221,12,21,33,0.000475,1800,False,69.666667,38.777778,50.027778,42.960000
C000222,19,13,32,0.000560,1800,False,65.777778,58.555556,50.027778,48.520000
C000223,23,19,42,0.000706,1800,False,90.694444,83.555556,50.027778,65.990000
C000224,15,9,24,0.000455,1800,False,22.416667,32.777778,50.027778,24.320000
C000225,11,13,24,0.000619,1800,False,22.416667,71.555556,50.027778,37.890000
C000226,10,7,17,0.000290,1800,False,3.583333,3.833333,50.027778,7.600000
C000227,14,8,22,0.000583,1800,False,13.944444,63.722222,50.027778,32.190000
C000228,15,7,22,0.000365,1800,False,13.944444,12.777778,50.027778,14.360000
C000229,11,17,28,0.000576,1800,False,43.750000,62.611111,50.027778,42.230000
C000230,14,11,25,0.000654,1800,False,27.694444,77.444444,50.027778,41.800000
C000231,18,14,32,0.000559,1800,False,65.777778,58.500000,50.027778,48.500000
C000232,6,33,39,0.000238,1800,False,85.972222,0.888889,50.027778,35.400000
C000233,17,13,30,0.000552,1800,False,55.527778,57.000000,50.027778,44.390000
C000234,11,0,11,0.000380,1800,False,0.722222,16.277778,50.027778,10.950000
C000235,14,14,28,0.000424,1800,False,43.750000,25.222222,50.027778,29.140000
C000236,8,35,43,0.000333,1800,False,91.777778,7.722222,50.027778,39.830000
C000237,16,11,27,0.000410,1800,False,37.722222,22.388889,50.027778,26.040000
C000238,14,11,25,0.000683,1800,False,27.694444,80.888889,50.027778,43.010000
C000239,18,14,32,0.000909,1800,False,65.777778,96.333333,50.027778,61.740000
C000240,16,12,28,0.000465,1800,False,43.750000,35.166667,50.027778,32.620000
C000241,16,14,30,0.000338,1800,False,55.527778,8.333333,50.027778,27.350000
C000242,18,12,30,0.000559,1800,False,55.527778,58.277778,50.027778,44.830000
C000243,18,12,30,0.000570,1800,False,55.527778,61.222222,50.027778,45.870000
C000244,17,0,17,0.000919,1800,False,3.583333,96.555556,50.027778,40.050000
C000245,15,12,27,0.000471,1800,False,37.722222,37.388889,50.027778,31.290000
C000246,12,17,29,0.000549,1800,False,49.861111,56.277778,50.027778,42.150000
C000247,16,14,30,0.000500,1800,False,55.527778,45.000000,50.027778,40.190000
C000248,18,14,32,0.000523,1800,False,65.777778,49.722222,50.027778,45.430000
C000249,17,7,24,0.000750,1800,False,22.416667,87.888889,50.027778,43.610000
C000250,11,0,11,0.000366,1800,False,0.722222,13.222222,50.027778,9.880000
C000251,18,11,29,0.000775,1800,False,49.861111,90.166667,50.027778,54.010000
C000252,17,17,34,0.000445,1800,False,73.000000,29.833333,50.027778,40.990000
C000253,11,31,42,0.000590,1800,False,90.694444,65.611111,50.027778,59.710000
C000254,15,12,27,0.000915,1800,False,37.722222,96.388889,50.027778,51.940000
C000255,13,14,27,0.000318,1800,False,37.722222,6.222222,50.027778,20.380000
C000256,23,14,37,0.000784,1800,False,81.527778,91.111111,50.027778,65.430000
C000257,9,30,39,0.000231,1800,False,85.972222,0.555556,50.027778,35.290000
C000258,19,13,32,0.001131,1800,False,65.777778,98.500000,50.027778,62.500000
C000259,14,0,14,0.000571,1800,False,1.777778,61.277778,50.027778,27.070000
C000260,17,14,31,0.000608,1800,False,60.888889,69.111111,50.027778,50.500000
C000261,17,13,30,0.000487,1800,False,55.527778,41.277778,50.027778,38.880000
C000262,16,12,28,0.000729,1800,False,43.750000,85.722222,50.027778,50.320000
C000263,16,7,23,0.000588,1800,False,17.750000,64.722222,50.027778,33.870000
C000264,12,17,29,0.000567,1800,False,49.861111,60.111111,50.027778,43.490000
C000265,10,15,25,0.000463,1800,False,27.694444,34.444444,50.027778,26.750000
C000266,18,17,35,0.000558,1800,False,76.305556,58.055556,50.027778,52.030000
C000267,13,17,30,0.000510,1800,False,55.527778,47.055556,50.027778,40.910000
C000268,11,12,23,0.000370,1800,False,17.750000,13.833333,50.027778,16.060000
C000269,13,8,21,0.000755,1800,False,10.777778,88.277778,50.027778,39.670000
C000270,14,0,14,0.000432,1800,False,1.777778,26.833333,50.027778,15.020000
C000271,18,10,28,0.000671,1800,False,43.750000,79.611111,50.027778,48.180000
C000272,16,23,39,0.000677,1800,False,85.972222,80.333333,50.027778,63.210000
C000273,15,10,25,0.000548,1800,False,27.694444,56.000000,50.027778,34.300000
C000274,19,12,31,0.000614,1800,False,60.888889,70.500000,50.027778,50.990000
C000275,16,23,39,0.000486,1800,False,85.972222,41.000000,50.027778,49.440000
C000276,11,13,24,0.000656,1800,False,22.416667,77.666667,50.027778,40.030000
C000277,9,11,20,0.000315,1800,False,8.277778,6.055556,50.027778,10.020000
C000278,11,30,41,0.000567,1800,False,89.222222,60.277778,50.027778,57.330000
C000279,16,8,24,0.000496,1800,False,22.416667,44.000000,50.027778,28.250000
C000280,9,15,24,0.000288,1800,False,22.416667,3.555556,50.027778,14.090000
C000281,21,14,35,0.000718,1800,False,76.305556,84.722222,50.027778,61.360000
C000282,11,28,39,0.000441,1800,False,85.972222,28.944444,50.027778,45.220000
C000283,16,12,28,0.000422,1800,False,43.750000,24.611111,50.027778,28.930000
C000284,22,8,30,0.000610,1800,False,55.527778,69.444444,50.027778,48.740000
C000285,18,22,40,0.000701,1800,False,87.722222,83.000000,50.027778,64.760000
C000286,16,18,34,0.000468,1800,False,73.000000,36.444444,50.027778,43.310000
C000287,14,25,39,0.000612,1800,False,85.972222,70.111111,50.027778,59.630000
C000288,15,15,30,0.000435,1800,False,55.527778,27.722222,50.027778,34.140000
C000289,11,0,11,0.000447,1800,False,0.722222,30.500000,50.027778,15.930000
C000290,12,7,19,0.000513,1800,False,6.166667,48.000000,50.027778,23.960000
C000291,14,10,24,0.000775,1800,False,22.416667,90.222222,50.027778,44.430000
C000292,12,15,27,0.000501,1800,False,37.722222,45.055556,50.027778,33.980000
C000293,17,18,35,0.000496,1800,False,76.305556,43.888889,50.027778,47.070000
C000294,12,13,25,0.000538,1800,False,27.694444,53.500000,50.027778,33.420000
C000295,12,6,18,0.000894,1800,False,4.666667,95.555556,50.027778,40.080000
C000296,12,25,37,0.000816,1800,False,81.527778,92.833333,50.027778,66.030000
C000297,13,9,22,0.000335,1800,False,13.944444,7.888889,50.027778,12.640000
C000298,7,45,52,0.000217,1800,False,97.861111,0.222222,50.027778,39.330000
C000299,17,12,29,0.000684,1800,False,49.861111,81.055556,50.027778,50.820000
C000300,13,30,43,0.000627,1800,False,91.777778,73.055556,50.027778,62.690000
C000301,14,12,26,0.000381,1800,False,32.611111,16.388889,50.027778,22.150000
C000302,15,11,26,0.000403,1800,False,32.611111,20.888889,50.027778,23.730000
C000303,14,16,30,0.000469,1800,False,55.527778,36.833333,50.027778,37.330000
C000304,17,13,30,0.000849,1800,False,55.527778,94.111111,50.027778,57.380000
C000305,16,16,32,0.000639,1800,False,65.777778,74.944444,50.027778,54.260000
C000306,9,11,20,0.000300,1800,False,8.277778,4.888889,50.027778,9.610000
C000307,17,18,35,0.000471,1800,False,76.305556,37.222222,50.027778,44.740000
C000308,16,21,37,0.000482,1800,False,81.527778,40.277778,50.027778,47.630000
C000309,9,7,16,0.000388,1800,False,2.722222,17.666667,50.027778,12.140000
C000310,15,9,24,0.000496,1800,False,22.416667,43.777778,50.027778,28.170000
C000311,8,11,19,0.000284,1800,False,6.166667,3.166667,50.027778,8.270000
C000312,15,12,27,0.000471,1800,False,37.722222,37.444444,50.027778,31.310000
C000313,13,15,28,0.000418,1800,False,43.750000,23.666667,50.027778,28.600000
C000314,15,14,29,0.000537,1800,False,49.861111,53.166667,50.027778,41.060000
C000315,13,11,24,0.000891,1800,False,22.416667,95.277778,50.027778,46.200000
C000316,20,14,34,0.000514,1800,False,73.000000,48.166667,50.027778,47.410000
C000317,10,28,38,0.000415,1800,False,83.888889,23.055556,50.027778,42.430000
C000318,13,11,24,0.000508,1800,False,22.416667,46.722222,50.027778,29.200000
C000319,18,6,24,0.000508,1800,False,22.416667,46.777778,50.027778,29.220000
C000320,18,8,26,0.000494,1800,False,32.611111,43.388889,50.027778,31.600000
C000321,14,21,35,0.000527,1800,False,76.305556,51.000000,50.027778,49.560000
C000322,10,12,22,0.000385,1800,False,13.944444,17.055556,50.027778,15.850000
C000323,17,12,29,0.000487,1800,False,49.861111,41.444444,50.027778,36.960000
C000324,12,25,37,0.000595,1800,False,81.527778,66.555556,50.027778,56.830000
C000325,16,24,40,0.000462,1800,False,87.722222,34.388889,50.027778,47.740000
C000326,14,17,31,0.000472,1800,False,60.888889,38.000000,50.027778,39.610000
C000327,15,8,23,0.000442,1800,False,17.750000,29.166667,50.027778,21.420000
C000328,19,28,47,0.000611,1800,False,95.055556,69.777778,50.027778,62.690000
C000329,16,12,28,0.000451,1800,False,43.750000,31.722222,50.027778,31.420000
C000330,13,9,22,0.000317,1800,False,13.944444,6.166667,50.027778,12.040000
C000331,13,9,22,0.000350,1800,False,13.944444,9.944444,50.027778,13.360000
C000332,10,12,22,0.000435,1800,False,13.944444,27.555556,50.027778,19.530000
C000333,15,16,31,0.000608,1800,False,60.888889,69.000000,50.027778,50.460000
C000334,13,11,24,0.000484,1800,False,22.416667,40.611111,50.027778,27.060000
C000335,14,7,21,0.000329,1800,False,10.777778,7.444444,50.027778,11.380000
C000336,11,7,18,0.000351,1800,False,4.666667,10.222222,50.027778,10.210000
C000337,17,11,28,0.000645,1800,False,43.750000,75.888889,50.027778,46.880000
C000338,21,15,36,0.000851,1800,False,79.055556,94.222222,50.027778,65.650000
C000339,18,33,51,0.000630,1800,False,97.611111,73.222222,50.027778,64.790000
C000340,11,13,24,0.000390,1800,False,22.416667,18.000000,50.027778,19.150000
C000341,11,33,44,0.000330,1800,False,92.500000,7.500000,50.027778,40.000000
C000342,13,26,39,0.000532,1800,False,85.972222,51.833333,50.027778,53.230000
C000343,21,16,37,0.001001,1800,False,81.527778,97.611111,50.027778,67.700000
C000344,12,14,26,0.000531,1800,False,32.611111,51.666667,50.027778,34.500000
C000345,19,10,29,0.000533,1800,False,49.861111,52.444444,50.027778,40.810000
C000346,16,10,26,0.000398,1800,False,32.611111,19.388889,50.027778,23.200000
