hit_id,customer_id,account_id,scenario_id,window_start,window_end,transaction_count,amount_try,evidence_value,threshold_value,source_transaction_ids,rationale
H000041,C001133,A0000621,DORMANT_REACTIVATION,2026-08-12 17:00:00,2026-08-12 17:00:00,1,419739.210000,419739.210000,100000.000000,T000048131,A dormant-designated account recorded material new activity.
H000042,C001151,A0000899,DORMANT_REACTIVATION,2026-08-14 17:00:00,2026-08-14 17:00:00,1,389129.550000,389129.550000,100000.000000,T000048125,A dormant-designated account recorded material new activity.
H000043,C001180,A0001533,DORMANT_REACTIVATION,2026-07-04 12:00:00,2026-07-04 12:00:00,1,150907.310000,150907.310000,100000.000000,T000048235,A dormant-designated account recorded material new activity.
H000044,C001219,A0001598,DORMANT_REACTIVATION,2026-07-24 17:00:00,2026-07-24 17:00:00,1,405079.850000,405079.850000,100000.000000,T000048128,A dormant-designated account recorded material new activity.
H000045,C001284,A0000319,DORMANT_REACTIVATION,2026-07-13 20:00:00,2026-07-13 20:00:00,1,217013.670000,217013.670000,100000.000000,T000048246,A dormant-designated account recorded material new activity.
H000046,C001446,A0000019,DORMANT_REACTIVATION,2026-07-28 17:00:00,2026-07-28 17:00:00,1,445793.600000,445793.600000,100000.000000,T000048127,A dormant-designated account recorded material new activity.
H000047,C001535,A0001061,DORMANT_REACTIVATION,2026-07-22 17:00:00,2026-07-22 17:00:00,1,265444.610000,265444.610000,100000.000000,T000048129,A dormant-designated account recorded material new activity.
H000048,C001595,A0002101,DORMANT_REACTIVATION,2026-07-06 02:00:00,2026-07-06 02:00:00,1,349995.940000,349995.940000,100000.000000,T000048156,A dormant-designated account recorded material new activity.
H000049,C001665,A0001523,DORMANT_REACTIVATION,2026-08-08 17:00:00,2026-08-08 17:00:00,1,380533.380000,380533.380000,100000.000000,T000048124,A dormant-designated account recorded material new activity.
H000050,C001704,A0001285,DORMANT_REACTIVATION,2026-07-16 17:00:00,2026-07-16 17:00:00,1,406846.580000,406846.580000,100000.000000,T000048132,A dormant-designated account recorded material new activity.
H000051,C000005,A0000295,FUNNEL_MULE,2026-07-10 09:00:00,2026-07-12 04:26:20,8,497013.710000,6.785600,5.750000,T000048365|T000048366|T000048367|T000048368|T000048369|T000048370|T000048371|T000028945,Multiple incoming counterparties were followed by concentrated outbound movement.
H000052,C000447,A0001030,FUNNEL_MULE,2026-08-03 07:57:21,2026-08-04 02:00:00,9,713471.410000,7.980400,5.750000,T000032955|T000048133|T000048134|T000048135|T000048136|T000048137|T000048138|T000048139|T000048140,Multiple incoming counterparties were followed by concentrated outbound movement.
H000053,C000524,A0001892,FUNNEL_MULE,2026-07-02 09:00:00,2026-07-03 01:00:00,7,527193.290000,6.780000,5.750000,T000048358|T000048359|T000048360|T000048361|T000048362|T000048363|T000048364,Multiple incoming counterparties were followed by concentrated outbound movement.
H000054,C000734,A0001587,FUNNEL_MULE,2026-07-15 09:00:00,2026-07-16 01:00:00,7,476990.870000,6.780000,5.750000,T000048379|T000048380|T000048381|T000048382|T000048383|T000048384|T000048385,Multiple incoming counterparties were followed by concentrated outbound movement.
H000055,C001008,A0001902,FUNNEL_MULE,2026-07-26 09:00:00,2026-07-27 01:00:00,7,550814.980000,6.780000,5.750000,T000048351|T000048352|T000048353|T000048354|T000048355|T000048356|T000048357,Multiple incoming counterparties were followed by concentrated outbound movement.
H000056,C001106,A0001983,FUNNEL_MULE,2026-07-08 08:00:00,2026-07-09 03:38:55,9,723034.160000,8.829300,5.750000,T000048173|T000048174|T000048175|T000048176|T000048177|T000048178|T000048179|T000048180|T000032221,Multiple incoming counterparties were followed by concentrated outbound movement.
H000057,C001138,A0001524,FUNNEL_MULE,2026-07-18 09:00:00,2026-07-19 01:00:00,7,531992.410000,6.780000,5.750000,T000048386|T000048387|T000048388|T000048389|T000048390|T000048391|T000048392,Multiple incoming counterparties were followed by concentrated outbound movement.
H000058,C001156,A0000554,FUNNEL_MULE,2026-07-24 08:00:00,2026-07-25 05:58:10,11,672835.700000,7.851700,5.750000,T000048141|T000023795|T000003235|T000048142|T000048143|T000048144|T000048145|T000048146|T000048147|T000048148|T000033046,Multiple incoming counterparties were followed by concentrated outbound movement.
H000059,C001184,A0001887,FUNNEL_MULE,2026-08-03 08:00:00,2026-08-04 02:00:00,8,711529.250000,7.840000,5.750000,T000048165|T000048166|T000048167|T000048168|T000048169|T000048170|T000048171|T000048172,Multiple incoming counterparties were followed by concentrated outbound movement.
H000060,C001328,A0001776,FUNNEL_MULE,2026-07-01 08:00:00,2026-07-02 02:00:00,8,634363.790000,7.840000,5.750000,T000048213|T000048214|T000048215|T000048216|T000048217|T000048218|T000048219|T000048220,Multiple incoming counterparties were followed by concentrated outbound movement.
H000061,C001356,A0000826,FUNNEL_MULE,2026-08-03 09:00:00,2026-08-04 05:35:00,8,557746.210000,7.770100,5.750000,T000048372|T000048373|T000048374|T000048375|T000048376|T000048377|T000048378|T000046483,Multiple incoming counterparties were followed by concentrated outbound movement.
H000062,C001502,A0000358,FUNNEL_MULE,2026-07-29 08:00:00,2026-07-30 02:00:00,8,687772.740000,7.840000,5.750000,T000048197|T000048198|T000048199|T000048200|T000048201|T000048202|T000048203|T000048204,Multiple incoming counterparties were followed by concentrated outbound movement.
H000063,C001506,A0001342,FUNNEL_MULE,2026-07-04 08:00:00,2026-07-05 02:00:00,9,657535.910000,7.842000,5.750000,T000048221|T000048222|T000048223|T000048224|T000048225|T000048226|T000034892|T000048227|T000048228,Multiple incoming counterparties were followed by concentrated outbound movement.
H000064,C001540,A0000431,FUNNEL_MULE,2026-08-04 08:00:00,2026-08-05 20:33:24,9,676208.940000,7.846700,5.750000,T000048157|T000048158|T000048159|T000048160|T000048161|T000048162|T000048163|T000048164|T000045165,Multiple incoming counterparties were followed by concentrated outbound movement.
H000065,C001564,A0000571,FUNNEL_MULE,2026-07-09 10:00:00,2026-07-11 09:51:30,11,705458.790000,9.839800,5.750000,T000048190|T000048191|T000048192|T000048193|T000048194|T000048195|T000048196|T000046688|T000040204|T000046737|T000004367,Multiple incoming counterparties were followed by concentrated outbound movement.
H000066,C001595,A0002101,FUNNEL_MULE,2026-07-05 08:00:00,2026-07-06 02:00:00,8,766657.780000,7.840000,5.750000,T000048149|T000048150|T000048151|T000048152|T000048153|T000048154|T000048155|T000048156,Multiple incoming counterparties were followed by concentrated outbound movement.
H000067,C001729,A0002061,FUNNEL_MULE,2026-06-28 08:00:00,2026-06-29 02:00:00,8,675430.120000,7.840000,5.750000,T000048205|T000048206|T000048207|T000048208|T000048209|T000048210|T000048211|T000048212,Multiple incoming counterparties were followed by concentrated outbound movement.
H000068,C000117,A0000984,HIGH_RISK_GEOGRAPHY,2026-08-07 15:00:00,2026-08-13 15:00:00,3,335145.940000,335145.940000,150000.000000,T000048265|T000048266|T000048267,Material activity involved a fictitious high-risk test jurisdiction.
H000069,C000128,A0001974,HIGH_RISK_GEOGRAPHY,2026-07-29 15:00:00,2026-08-04 15:00:00,3,314814.540000,314814.540000,150000.000000,T000048259|T000048260|T000048261,Material activity involved a fictitious high-risk test jurisdiction.
H000070,C000150,A0000626,HIGH_RISK_GEOGRAPHY,2026-08-04 16:00:00,2026-08-08 16:00:00,2,197013.180000,197013.180000,150000.000000,T000048411|T000048412,Material activity involved a fictitious high-risk test jurisdiction.
H000071,C000153,A0001525,HIGH_RISK_GEOGRAPHY,2026-08-05 16:00:00,2026-08-09 16:00:00,2,182364.660000,182364.660000,150000.000000,T000048403|T000048404,Material activity involved a fictitious high-risk test jurisdiction.
H000072,C000162,A0000670,HIGH_RISK_GEOGRAPHY,2026-08-05 15:00:00,2026-08-11 15:00:00,3,390754.750000,390754.750000,150000.000000,T000048277|T000048278|T000048279,Material activity involved a fictitious high-risk test jurisdiction.
H000073,C000496,A0001004,HIGH_RISK_GEOGRAPHY,2026-07-30 15:00:00,2026-08-05 15:00:00,3,301447.790000,301447.790000,150000.000000,T000048256|T000048257|T000048258,Material activity involved a fictitious high-risk test jurisdiction.
H000074,C000505,A0000757,HIGH_RISK_GEOGRAPHY,2026-07-28 15:00:00,2026-08-03 15:00:00,3,305187.100000,305187.100000,150000.000000,T000048280|T000048281|T000048282,Material activity involved a fictitious high-risk test jurisdiction.
H000075,C000586,A0000183,HIGH_RISK_GEOGRAPHY,2026-08-01 15:00:00,2026-08-07 15:00:00,3,327094.930000,327094.930000,150000.000000,T000048262|T000048263|T000048264,Material activity involved a fictitious high-risk test jurisdiction.
H000076,C000589,A0000724,HIGH_RISK_GEOGRAPHY,2026-08-03 16:00:00,2026-08-07 16:00:00,2,192498.120000,192498.120000,150000.000000,T000048405|T000048406,Material activity involved a fictitious high-risk test jurisdiction.
H000077,C000621,A0000389,HIGH_RISK_GEOGRAPHY,2026-07-30 15:00:00,2026-08-05 15:00:00,3,303141.250000,303141.250000,150000.000000,T000048253|T000048254|T000048255,Material activity involved a fictitious high-risk test jurisdiction.
H000078,C000724,A0000252,HIGH_RISK_GEOGRAPHY,2026-08-09 16:00:00,2026-08-13 16:00:00,2,199673.880000,199673.880000,150000.000000,T000048401|T000048402,Material activity involved a fictitious high-risk test jurisdiction.
H000079,C000736,A0002020,HIGH_RISK_GEOGRAPHY,2026-08-16 16:00:00,2026-08-20 16:00:00,2,211183.300000,211183.300000,150000.000000,T000048399|T000048400,Material activity involved a fictitious high-risk test jurisdiction.
H000080,C000749,A0001243,HIGH_RISK_GEOGRAPHY,2026-07-31 16:00:00,2026-08-04 16:00:00,2,202811.980000,202811.980000,150000.000000,T000048407|T000048408,Material activity involved a fictitious high-risk test jurisdiction.
H000081,C000896,A0001536,HIGH_RISK_GEOGRAPHY,2026-08-07 15:00:00,2026-08-13 15:00:00,3,337903.480000,337903.480000,150000.000000,T000048286|T000048287|T000048288,Material activity involved a fictitious high-risk test jurisdiction.
H000082,C001017,A0001434,HIGH_RISK_GEOGRAPHY,2026-08-14 15:00:00,2026-08-20 15:00:00,3,361205.040000,361205.040000,150000.000000,T000048289|T000048290|T000048291,Material activity involved a fictitious high-risk test jurisdiction.
H000083,C001026,A0000190,HIGH_RISK_GEOGRAPHY,2026-08-09 15:00:00,2026-08-15 15:00:00,3,327017.230000,327017.230000,150000.000000,T000048271|T000048272|T000048273,Material activity involved a fictitious high-risk test jurisdiction.
H000084,C001043,A0001149,HIGH_RISK_GEOGRAPHY,2026-07-24 15:00:00,2026-07-30 15:00:00,3,340061.720000,340061.720000,150000.000000,T000048274|T000048275|T000048276,Material activity involved a fictitious high-risk test jurisdiction.
H000085,C001376,A0000627,HIGH_RISK_GEOGRAPHY,2026-07-31 16:00:00,2026-08-04 16:00:00,2,203045.670000,203045.670000,150000.000000,T000048409|T000048410,Material activity involved a fictitious high-risk test jurisdiction.
H000086,C001546,A0001890,HIGH_RISK_GEOGRAPHY,2026-08-02 15:00:00,2026-08-08 15:00:00,3,288863.120000,288863.120000,150000.000000,T000048283|T000048284|T000048285,Material activity involved a fictitious high-risk test jurisdiction.
H000087,C001597,A0001693,HIGH_RISK_GEOGRAPHY,2026-08-01 15:00:00,2026-08-07 15:00:00,3,307533.660000,307533.660000,150000.000000,T000048292|T000048293|T000048294,Material activity involved a fictitious high-risk test jurisdiction.
H000088,C001743,A0000218,HIGH_RISK_GEOGRAPHY,2026-08-17 15:00:00,2026-08-23 15:00:00,3,246732.640000,246732.640000,150000.000000,T000048268|T000048269|T000048270,Material activity involved a fictitious high-risk test jurisdiction.
H000089,C000205,A0000546,RAPID_MOVEMENT,2026-06-26 13:00:00,2026-06-26 21:00:00,3,295220.400000,0.840000,0.800000,T000048339|T000045273|T000048340,Material incoming funds were followed by rapid outbound movement.
H000090,C000344,A0001480,RAPID_MOVEMENT,2026-06-16 14:00:00,2026-06-16 19:00:00,2,400101.010000,0.902500,0.800000,T000048113|T000048114,Material incoming funds were followed by rapid outbound movement.
H000091,C000359,A0001123,RAPID_MOVEMENT,2026-08-04 13:00:00,2026-08-04 21:00:00,2,598174.580000,0.840000,0.800000,T000048343|T000048344,Material incoming funds were followed by rapid outbound movement.
H000092,C000390,A0001003,RAPID_MOVEMENT,2026-06-23 14:00:00,2026-06-23 19:00:00,2,998242.080000,0.895500,0.800000,T000048111|T000048112,Material incoming funds were followed by rapid outbound movement.
H000093,C000446,A0000221,RAPID_MOVEMENT,2026-07-13 14:00:00,2026-07-14 13:25:17,3,464152.720000,0.884200,0.800000,T000048105|T000048106|T000011393,Material incoming funds were followed by rapid outbound movement.
H000094,C000474,A0002071,RAPID_MOVEMENT,2026-07-16 13:00:00,2026-07-16 21:00:00,2,747223.080000,0.840000,0.800000,T000048341|T000048342,Material incoming funds were followed by rapid outbound movement.
H000095,C000549,A0000942,RAPID_MOVEMENT,2026-08-08 13:00:00,2026-08-09 07:05:45,4,761593.410000,0.845400,0.800000,T000048345|T000034513|T000048346|T000023567,Material incoming funds were followed by rapid outbound movement.
H000096,C000631,A0000146,RAPID_MOVEMENT,2026-07-13 13:00:00,2026-07-14 04:08:38,3,720047.930000,0.840000,0.800000,T000048337|T000048338|T000019656,Material incoming funds were followed by rapid outbound movement.
H000097,C000799,A0002065,RAPID_MOVEMENT,2026-07-04 14:00:00,2026-07-04 19:00:00,2,690742.770000,0.872900,0.800000,T000048119|T000048120,Material incoming funds were followed by rapid outbound movement.
H000098,C000942,A0001205,RAPID_MOVEMENT,2026-06-30 14:00:00,2026-06-30 19:00:00,2,962144.070000,0.831000,0.800000,T000048099|T000048100,Material incoming funds were followed by rapid outbound movement.
H000099,C001027,A0002191,RAPID_MOVEMENT,2026-07-12 14:00:00,2026-07-12 19:00:00,2,406364.920000,0.862700,0.800000,T000048117|T000048118,Material incoming funds were followed by rapid outbound movement.
H000100,C001111,A0001482,RAPID_MOVEMENT,2026-07-25 13:00:00,2026-07-25 21:00:00,3,385469.490000,0.840000,0.800000,T000048347|T000018583|T000048348,Material incoming funds were followed by rapid outbound movement.
H000101,C001325,A0000206,RAPID_MOVEMENT,2026-07-31 14:00:00,2026-07-31 19:00:00,2,1077198.980000,0.864100,0.800000,T000048107|T000048108,Material incoming funds were followed by rapid outbound movement.
H000102,C001391,A0001721,RAPID_MOVEMENT,2026-06-26 13:00:00,2026-06-26 21:00:00,2,468087.080000,0.840000,0.800000,T000048335|T000048336,Material incoming funds were followed by rapid outbound movement.
H000103,C001507,A0000354,RAPID_MOVEMENT,2026-08-14 14:00:00,2026-08-14 19:00:00,2,704132.860000,0.912600,0.800000,T000048095|T000048096,Material incoming funds were followed by rapid outbound movement.
H000104,C001518,A0001833,RAPID_MOVEMENT,2026-07-26 14:00:00,2026-07-26 19:00:00,2,408334.360000,0.887900,0.800000,T000048093|T000048094,Material incoming funds were followed by rapid outbound movement.
H000105,C001529,A0002139,RAPID_MOVEMENT,2026-07-09 13:00:00,2026-07-09 21:00:00,2,283951.210000,0.840000,0.800000,T000048349|T000048350,Material incoming funds were followed by rapid outbound movement.
H000106,C001542,A0001537,RAPID_MOVEMENT,2026-08-02 14:00:00,2026-08-02 19:00:00,2,1166063.390000,0.928200,0.800000,T000048109|T000048110,Material incoming funds were followed by rapid outbound movement.
H000107,C001558,A0000509,RAPID_MOVEMENT,2026-07-23 14:00:00,2026-07-23 19:00:00,2,1080962.190000,0.846700,0.800000,T000048115|T000048116,Material incoming funds were followed by rapid outbound movement.
H000108,C001700,A0000786,RAPID_MOVEMENT,2026-06-21 14:00:00,2026-06-21 19:00:00,3,840951.370000,0.933300,0.800000,T000048097|T000022919|T000048098,Material incoming funds were followed by rapid outbound movement.
H000109,C001725,A0000651,RAPID_MOVEMENT,2026-07-04 14:00:00,2026-07-04 19:00:00,2,537565.900000,0.899000,0.800000,T000048091|T000048092,Material incoming funds were followed by rapid outbound movement.
H000110,C001744,A0001141,RAPID_MOVEMENT,2026-06-30 14:00:00,2026-06-30 19:00:00,2,1132039.170000,0.891200,0.800000,T000048103|T000048104,Material incoming funds were followed by rapid outbound movement.
H000111,C001769,A0000185,RAPID_MOVEMENT,2026-08-04 14:00:00,2026-08-04 19:00:00,2,457970.000000,0.922200,0.800000,T000048101|T000048102,Material incoming funds were followed by rapid outbound movement.
H000112,C000059,A0002162,STRUCTURING,2026-07-12 06:00:00,2026-07-13 07:00:00,6,281012.530000,6.000000,5.000000,T000048001|T000048002|T000048003|T000048004|T000048005|T000048006,Repeated cash inflows clustered below an internal monitoring parameter.
H000113,C000302,A0000715,STRUCTURING,2026-07-12 06:00:00,2026-07-13 07:00:00,6,283246.920000,6.000000,5.000000,T000048043|T000048044|T000048045|T000048046|T000048047|T000048048,Repeated cash inflows clustered below an internal monitoring parameter.
H000114,C000362,A0000425,STRUCTURING,2026-07-08 06:00:00,2026-07-09 07:00:00,6,280974.200000,6.000000,5.000000,T000048055|T000048056|T000048057|T000048058|T000048059|T000048060,Repeated cash inflows clustered below an internal monitoring parameter.
H000115,C000464,A0001562,STRUCTURING,2026-07-06 06:00:00,2026-07-07 07:00:00,6,284401.080000,6.000000,5.000000,T000048025|T000048026|T000048027|T000048028|T000048029|T000048030,Repeated cash inflows clustered below an internal monitoring parameter.
H000116,C000579,A0001889,STRUCTURING,2026-06-24 06:00:00,2026-06-25 07:00:00,6,283405.940000,6.000000,5.000000,T000048037|T000048038|T000048039|T000048040|T000048041|T000048042,Repeated cash inflows clustered below an internal monitoring parameter.
H000117,C000716,A0000955,STRUCTURING,2026-07-12 06:00:00,2026-07-13 07:00:00,6,276312.440000,6.000000,5.000000,T000048085|T000048086|T000048087|T000048088|T000048089|T000048090,Repeated cash inflows clustered below an internal monitoring parameter.
H000118,C000811,A0000222,STRUCTURING,2026-06-16 10:00:00,2026-06-17 10:00:00,5,222504.120000,5.000000,5.000000,T000048300|T000048301|T000048302|T000048303|T000048304,Repeated cash inflows clustered below an internal monitoring parameter.
H000119,C000839,A0000361,STRUCTURING,2026-07-17 10:00:00,2026-07-18 10:00:00,5,219246.190000,5.000000,5.000000,T000048310|T000048311|T000048312|T000048313|T000048314,Repeated cash inflows clustered below an internal monitoring parameter.
H000120,C000847,A0000246,STRUCTURING,2026-07-17 10:00:00,2026-07-18 10:00:00,5,216470.820000,5.000000,5.000000,T000048325|T000048326|T000048327|T000048328|T000048329,Repeated cash inflows clustered below an internal monitoring parameter.
H000121,C000910,A0000379,STRUCTURING,2026-07-09 06:00:00,2026-07-10 07:00:00,6,277500.200000,6.000000,5.000000,T000048073|T000048074|T000048075|T000048076|T000048077|T000048078,Repeated cash inflows clustered below an internal monitoring parameter.
H000122,C000960,A0000555,STRUCTURING,2026-07-06 06:00:00,2026-07-07 07:00:00,6,279486.920000,6.000000,5.000000,T000048067|T000048068|T000048069|T000048070|T000048071|T000048072,Repeated cash inflows clustered below an internal monitoring parameter.
H000123,C000973,A0000582,STRUCTURING,2026-06-30 06:00:00,2026-07-01 07:00:00,6,281708.200000,6.000000,5.000000,T000048019|T000048020|T000048021|T000048022|T000048023|T000048024,Repeated cash inflows clustered below an internal monitoring parameter.
H000124,C001169,A0000258,STRUCTURING,2026-07-26 06:00:00,2026-07-27 07:00:00,6,274632.790000,6.000000,5.000000,T000048049|T000048050|T000048051|T000048052|T000048053|T000048054,Repeated cash inflows clustered below an internal monitoring parameter.
