customer_id,transaction_count,total_amount_try,unique_counterparties,maximum_transaction_try,turnover_deviation,cash_ratio,high_risk_ratio,out_in_ratio,anomaly_score,anomaly_flag
C000026,52.000000,164658.740000,52.000000,15635.950000,0.670544,0.155334,0.012944,1.227974,74.440000,False
C000027,44.000000,542348.190000,44.000000,61137.800000,0.676772,0.175083,0.007100,0.780494,73.610000,False
C000028,26.000000,62335.220000,26.000000,6095.340000,0.471096,0.367811,0.000000,0.636091,41.720000,False
C000029,24.000000,309490.780000,24.000000,80101.790000,0.362804,0.101742,0.000000,4.134069,66.280000,False
C000030,47.000000,195957.120000,46.000000,12111.770000,0.606524,0.105401,0.000000,0.808637,61.890000,False
C000031,17.000000,40703.160000,16.000000,5695.020000,0.197180,0.046889,0.000000,0.601758,39.560000,False
C000032,18.000000,322057.680000,18.000000,47823.240000,0.408667,0.297397,0.000000,1.256104,54.720000,False
C000033,21.000000,1310244.110000,21.000000,305807.590000,0.405337,0.115399,0.000000,0.764970,90.170000,False
C000034,27.000000,232394.430000,27.000000,36990.310000,0.313149,0.167899,0.021036,1.468748,46.220000,False
C000035,20.000000,30698.890000,20.000000,5406.710000,0.356412,0.217578,0.000000,0.711766,12.670000,False
C000036,21.000000,270662.100000,21.000000,28024.340000,0.332961,0.231573,0.000000,1.626088,26.560000,False
C000037,20.000000,105969.630000,20.000000,16830.270000,0.377224,0.088691,0.000000,0.603983,8.220000,False
C000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.750000,False
C000039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.750000,False
C000040,23.000000,38908.150000,23.000000,4426.840000,0.275041,0.145444,0.000000,0.922383,4.890000,False
C000041,25.000000,1293568.200000,25.000000,221333.520000,0.790097,0.306410,0.000000,1.847531,90.830000,False
C000042,22.000000,485422.270000,22.000000,71769.670000,0.265275,0.251328,0.000000,1.074935,51.390000,False
C000043,29.000000,84454.550000,29.000000,10638.240000,0.816585,0.179739,0.105353,0.762944,78.390000,False
C000044,21.000000,33272.050000,21.000000,8075.480000,0.366103,0.059905,0.000000,0.628452,7.110000,False
C000045,77.000000,99676.320000,74.000000,6317.110000,1.142348,0.148628,0.000000,0.621057,94.330000,False
C000046,26.000000,107885.490000,26.000000,28762.170000,0.655761,0.171468,0.000000,2.633735,36.670000,False
C000047,29.000000,639177.780000,29.000000,73021.280000,0.471155,0.122816,0.000000,1.802694,62.060000,False
C000048,18.000000,90256.140000,18.000000,19392.980000,0.378682,0.303381,0.000000,0.656384,42.940000,False
C000049,64.000000,2094387.770000,64.000000,323841.160000,1.334935,0.059281,0.000000,0.912901,97.890000,True
C000050,24.000000,336415.020000,24.000000,265863.000000,1.999548,0.032157,0.000000,8.538923,93.330000,False
C000051,21.000000,27144.660000,21.000000,5319.990000,0.375294,0.136384,0.000000,0.672985,2.390000,False
C000052,45.000000,240136.560000,45.000000,148643.700000,1.527348,0.032030,0.000000,4.040410,91.720000,False
C000053,39.000000,242648.090000,39.000000,39519.150000,1.408187,0.231635,0.000000,0.571911,75.500000,False
C000054,25.000000,356434.830000,24.000000,257887.110000,1.602881,0.075973,0.000000,5.736932,90.390000,False
C000055,39.000000,149367.670000,38.000000,23165.910000,0.729231,0.011868,0.000000,2.404961,71.670000,False
C000056,22.000000,5706.570000,22.000000,812.480000,0.237774,0.057266,0.000000,0.897478,20.780000,False
C000057,17.000000,8484.240000,16.000000,1739.860000,0.320437,0.214794,0.000000,1.683663,42.000000,False
C000058,21.000000,27751.170000,21.000000,4641.740000,0.505485,0.008405,0.000000,1.356515,33.440000,False
C000059,32.000000,310950.860000,32.000000,48822.540000,5.921435,0.930901,0.000000,0.021840,97.780000,True
C000060,16.000000,230219.910000,16.000000,74720.320000,0.415528,0.173210,0.000000,1.627570,59.830000,False
C000061,22.000000,275492.050000,22.000000,53325.150000,0.373155,0.218941,0.000000,0.946822,24.560000,False
C000062,27.000000,273386.090000,27.000000,25989.700000,0.355435,0.276207,0.017224,1.280382,50.720000,False
C000063,26.000000,28040.480000,26.000000,5765.960000,0.458267,0.113179,0.027520,0.534779,45.280000,False
C000064,50.000000,55310.110000,50.000000,4085.980000,0.785445,0.125454,0.000000,1.567796,70.000000,False
C000065,28.000000,50169.580000,28.000000,6643.920000,0.295238,0.192542,0.000000,0.596267,21.610000,False
C000066,41.000000,627918.130000,41.000000,122669.290000,1.236246,0.151650,0.042267,0.365319,89.720000,False
C000067,47.000000,85081.190000,47.000000,8273.140000,1.242356,0.138766,0.000000,0.696109,72.830000,False
C000068,54.000000,65539.940000,54.000000,7395.910000,0.861356,0.089401,0.000000,1.904314,76.060000,False
C000069,29.000000,92785.940000,29.000000,7831.430000,0.363604,0.032271,0.000000,1.678887,38.610000,False
C000070,75.000000,66665.560000,73.000000,4666.960000,1.377025,0.173583,0.000000,0.902185,93.720000,False
C000071,30.000000,21298.970000,30.000000,1688.650000,0.304299,0.208931,0.000000,0.994220,32.280000,False
C000072,28.000000,27531.670000,28.000000,2506.840000,0.439161,0.207771,0.000000,0.434043,22.890000,False
C000073,17.000000,471937.720000,17.000000,108091.110000,0.387193,0.450511,0.000000,2.373730,82.890000,False
C000074,32.000000,100100.780000,32.000000,9487.670000,0.411423,0.238198,0.000000,1.395508,33.780000,False
C000075,19.000000,64205.530000,19.000000,9010.890000,0.210457,0.155279,0.033762,0.539725,54.390000,False
C000076,48.000000,111258.450000,48.000000,11079.870000,1.036050,0.121789,0.000000,1.226276,67.560000,False
C000077,39.000000,80056.450000,39.000000,11475.400000,0.604431,0.156842,0.018854,2.380734,72.170000,False
C000078,31.000000,112064.450000,31.000000,17646.230000,0.723430,0.161937,0.000000,2.386262,43.060000,False
C000079,27.000000,123078.730000,27.000000,19715.370000,0.443317,0.315147,0.000000,2.406731,46.440000,False
C000080,45.000000,475680.110000,45.000000,58906.730000,0.834022,0.118734,0.123837,1.947595,90.560000,False
C000081,24.000000,27269.600000,24.000000,2705.730000,0.437715,0.144875,0.000000,0.749134,1.830000,False
C000082,28.000000,13330.110000,28.000000,2525.460000,0.406276,0.087446,0.000000,0.736336,21.060000,False
C000083,26.000000,27851.170000,26.000000,3292.450000,0.456530,0.151726,0.030478,3.555326,68.940000,False
C000084,28.000000,287703.510000,28.000000,140825.710000,0.821024,0.036041,0.000000,4.933912,81.110000,False
C000085,20.000000,668336.030000,20.000000,84536.830000,0.287036,0.063548,0.063548,0.579676,78.330000,False
C000086,19.000000,53688.570000,19.000000,10247.200000,0.345490,0.329402,0.000000,1.604600,39.110000,False
C000087,25.000000,172817.670000,25.000000,138855.260000,3.804134,0.014596,0.000000,10.320266,95.110000,True
C000088,49.000000,295198.690000,49.000000,30344.400000,0.772258,0.140473,0.000000,0.671624,65.830000,False
C000089,23.000000,165616.180000,23.000000,45884.980000,0.385593,0.175056,0.000000,1.604591,17.670000,False
C000090,21.000000,89303.430000,21.000000,17839.500000,0.420432,0.147086,0.043552,1.834306,50.940000,False
C000091,27.000000,22248.410000,27.000000,2753.520000,0.497052,0.071631,0.000000,1.024865,16.330000,False
C000092,16.000000,88175.810000,16.000000,17097.510000,0.190843,0.311821,0.000000,1.135850,54.780000,False
C000093,23.000000,61695.070000,23.000000,11946.760000,0.327307,0.028150,0.000000,0.805147,15.560000,False
C000094,18.000000,25785.060000,18.000000,9021.980000,0.482959,0.030406,0.000000,1.599620,38.390000,False
C000095,27.000000,128485.340000,27.000000,20392.900000,0.538272,0.166598,0.000000,1.232580,7.060000,False
C000096,21.000000,74121.620000,21.000000,7024.920000,0.529872,0.297476,0.000000,0.883183,33.940000,False
C000097,21.000000,388293.140000,21.000000,353916.200000,3.284568,0.017223,0.001853,0.037470,94.670000,False
C000098,36.000000,21063.720000,35.000000,2513.000000,0.877655,0.193239,0.000000,0.539417,50.890000,False
C000099,21.000000,196824.110000,21.000000,30262.440000,0.266663,0.053557,0.000000,0.665442,14.890000,False
C000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.750000,False
C000101,23.000000,249531.940000,23.000000,41472.340000,0.224866,0.082126,0.000000,1.441198,26.830000,False
C000102,20.000000,716759.850000,20.000000,99679.840000,0.322544,0.018433,0.000000,0.656848,71.170000,False
C000103,28.000000,49431.430000,28.000000,5351.420000,0.312363,0.169832,0.000000,0.372324,22.110000,False
C000104,29.000000,25089.210000,29.000000,2827.320000,0.404209,0.214742,0.000000,1.188768,22.330000,False
C000105,23.000000,46280.810000,23.000000,5368.110000,0.319014,0.291218,0.000000,1.477066,28.890000,False
C000106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.750000,False
C000107,23.000000,56407.270000,23.000000,11301.730000,0.457332,0.285307,0.000000,0.848780,22.610000,False
C000108,20.000000,72887.000000,20.000000,8522.640000,0.384286,0.131625,0.000000,2.714173,36.390000,False
C000109,18.000000,172872.690000,18.000000,42196.040000,0.250734,0.080624,0.000000,1.072583,34.940000,False
C000110,22.000000,183062.350000,22.000000,39048.650000,0.318830,0.016064,0.000000,0.586663,25.560000,False
C000111,27.000000,43543.640000,27.000000,3667.470000,0.400967,0.111710,0.000000,0.654027,9.110000,False
C000112,18.000000,14999.870000,18.000000,3162.770000,0.263414,0.190944,0.000000,1.049555,29.220000,False
C000113,29.000000,149801.070000,29.000000,15508.050000,0.625228,0.155939,0.000000,1.656509,16.000000,False
C000114,16.000000,697875.340000,16.000000,112283.520000,0.301368,0.046032,0.000000,0.236020,77.500000,False
C000115,27.000000,68486.530000,27.000000,6085.060000,0.518317,0.117865,0.000000,0.770942,6.780000,False
C000116,19.000000,9558.840000,19.000000,2377.920000,0.398285,0.149584,0.000000,0.866403,17.560000,False
C000117,27.000000,376348.590000,27.000000,140727.090000,4.573846,0.017397,0.890520,0.590031,99.220000,True
C000118,24.000000,165700.870000,24.000000,15984.010000,0.293473,0.102992,0.006276,2.250546,37.500000,False
C000119,26.000000,388305.330000,26.000000,81690.490000,0.320069,0.333698,0.000000,1.064417,58.720000,False
C000120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.750000,False
C000121,19.000000,351961.110000,19.000000,54482.650000,0.287117,0.194226,0.000000,0.993895,42.500000,False
C000122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.750000,False
C000123,14.000000,3858.770000,14.000000,727.430000,0.160782,0.114752,0.000000,0.493540,58.440000,False
C000124,21.000000,361861.420000,21.000000,74240.330000,0.354627,0.059183,0.000000,2.660656,57.610000,False
C000125,53.000000,47383.730000,53.000000,3301.990000,0.759074,0.296080,0.029408,1.486066,88.890000,False
C000126,22.000000,127901.380000,22.000000,21816.150000,0.399399,0.324658,0.000000,2.219904,39.060000,False
C000127,23.000000,1365801.630000,23.000000,313326.250000,0.359022,0.127976,0.000000,1.290053,91.170000,False
C000128,28.000000,427289.570000,28.000000,121776.140000,1.878292,0.022560,0.748092,0.859667,97.060000,True
C000129,14.000000,65744.630000,14.000000,9615.950000,0.235094,0.205967,0.000000,0.644598,56.110000,False
C000130,25.000000,44092.740000,25.000000,7477.120000,0.524834,0.122262,0.000000,0.704325,1.890000,False
C000131,23.000000,17417.990000,23.000000,2679.450000,0.585479,0.172456,0.000000,2.354458,33.670000,False
C000132,21.000000,68938.520000,21.000000,8281.470000,0.563444,0.113623,0.000000,0.452584,9.560000,False
C000133,30.000000,1077067.270000,30.000000,171644.630000,0.704591,0.238929,0.000000,0.835957,83.390000,False
C000134,20.000000,78146.070000,20.000000,14765.720000,0.211668,0.022147,0.000000,2.464104,42.440000,False
C000135,23.000000,47610.910000,23.000000,7684.280000,0.350024,0.317037,0.000000,1.477513,32.720000,False
C000136,23.000000,57856.210000,23.000000,5455.390000,0.296681,0.135361,0.000000,1.025735,1.390000,False
C000137,23.000000,63176.770000,23.000000,7313.090000,0.291180,0.080647,0.000000,1.658516,10.060000,False
C000138,23.000000,511254.890000,23.000000,71102.470000,0.459303,0.136888,0.000000,0.443369,49.830000,False
C000139,42.000000,19424.090000,41.000000,1784.180000,0.667795,0.255804,0.000000,1.019212,63.500000,False
C000140,23.000000,66291.230000,23.000000,13277.300000,0.321267,0.393719,0.000000,1.855990,46.780000,False
C000141,18.000000,228470.060000,18.000000,48272.150000,0.366174,0.268353,0.000000,1.811542,49.670000,False
C000142,53.000000,32630.460000,53.000000,2355.300000,0.826548,0.155330,0.000000,1.362362,73.560000,False
C000143,46.000000,982460.690000,46.000000,109854.680000,0.794739,0.062867,0.000000,0.765191,82.390000,False
C000144,53.000000,219030.710000,52.000000,14322.860000,1.046093,0.188187,0.000000,1.304083,74.670000,False
C000145,31.000000,370852.100000,31.000000,60595.430000,0.448587,0.136064,0.000000,0.514198,50.280000,False
C000146,11.000000,33074.450000,11.000000,4701.670000,0.126213,0.141458,0.000000,0.763286,71.060000,False
C000147,22.000000,225970.660000,22.000000,33368.810000,0.314663,0.250118,0.000000,1.826094,27.060000,False
C000148,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.750000,False
C000149,30.000000,67284.200000,30.000000,7618.060000,0.609399,0.160910,0.000000,1.014325,18.440000,False
C000150,30.000000,597999.120000,30.000000,104933.790000,0.702759,0.035267,0.329454,2.367893,92.780000,False
C000151,52.000000,55505.590000,52.000000,5317.750000,0.761467,0.227251,0.000000,1.790763,76.330000,False
C000152,25.000000,175129.970000,25.000000,26629.400000,0.442103,0.077502,0.000000,0.404555,14.060000,False
C000153,2.000000,182364.660000,2.000000,104041.330000,4.315362,0.000000,1.000000,182364.660000,100.000000,True
C000154,22.000000,15439.610000,22.000000,2792.540000,0.643317,0.145721,0.000000,1.194252,13.940000,False
C000155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.750000,False
C000156,48.000000,530640.400000,48.000000,452965.880000,8.014440,0.019201,0.000000,0.061807,99.440000,True
C000157,28.000000,148505.650000,28.000000,30861.430000,0.689154,0.069754,0.000000,3.602571,59.170000,False
C000158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.750000,False
C000159,15.000000,346916.880000,15.000000,98835.480000,0.283490,0.051573,0.000000,2.328226,71.720000,False
C000160,18.000000,16836.230000,18.000000,1928.010000,0.364133,0.120630,0.000000,0.406282,27.440000,False
C000161,45.000000,132027.440000,45.000000,10472.520000,0.663718,0.089429,0.016740,0.852487,69.060000,False
C000162,25.000000,457881.880000,25.000000,141503.240000,2.397088,0.023439,0.862710,0.540241,98.060000,True
C000163,44.000000,72978.670000,44.000000,4870.020000,0.636757,0.127839,0.004749,1.247382,64.670000,False
C000164,41.000000,148269.490000,41.000000,13073.990000,0.738281,0.193649,0.000000,1.020105,52.390000,False
C000165,21.000000,114552.610000,21.000000,17784.680000,0.377861,0.155491,0.000000,0.336174,4.500000,False
C000166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.750000,False
C000167,23.000000,102089.070000,23.000000,14373.050000,0.291340,0.219431,0.000000,1.241210,3.670000,False
C000168,49.000000,492281.690000,49.000000,62001.580000,1.128040,0.188852,0.006137,1.603794,80.670000,False
C000169,30.000000,321976.600000,30.000000,50851.770000,0.510587,0.060551,0.000000,0.848045,44.720000,False
C000170,16.000000,144834.950000,16.000000,22116.490000,0.153874,0.167022,0.000000,0.476542,47.610000,False
C000171,23.000000,126923.110000,23.000000,23334.910000,0.546099,0.170990,0.000000,0.408858,5.890000,False
C000172,22.000000,177678.330000,22.000000,27937.530000,0.352115,0.022292,0.000000,4.394903,65.110000,False
C000173,16.000000,93628.600000,16.000000,23156.670000,0.370152,0.047776,0.000000,0.544937,38.220000,False
C000174,26.000000,41614.140000,26.000000,4688.570000,0.518502,0.152135,0.000000,1.362121,6.330000,False
C000175,17.000000,22847.790000,17.000000,4132.670000,0.418202,0.156088,0.000000,0.562138,33.390000,False
C000176,42.000000,58429.070000,42.000000,6922.800000,0.540391,0.220622,0.000000,0.464873,62.110000,False
C000177,46.000000,121696.930000,46.000000,11436.770000,0.818797,0.181740,0.033003,0.619380,75.720000,False
C000178,21.000000,358800.740000,21.000000,51626.830000,0.339744,0.184337,0.000000,0.502482,34.780000,False
C000179,28.000000,97735.690000,28.000000,24432.770000,0.519545,0.377729,0.024613,0.378174,67.440000,False
C000180,15.000000,188435.220000,15.000000,35343.620000,0.274650,0.198942,0.000000,0.802196,50.390000,False
C000181,21.000000,84817.600000,21.000000,13701.520000,0.237470,0.050107,0.000000,0.522995,16.670000,False
C000182,29.000000,67682.470000,29.000000,9834.680000,0.657105,0.084242,0.000000,1.919191,34.390000,False
C000183,17.000000,19464.780000,17.000000,3523.830000,0.256842,0.000000,0.000000,0.656923,52.890000,False
C000184,29.000000,100859.070000,28.000000,13287.700000,0.508802,0.194455,0.019300,1.392136,37.110000,False
C000185,23.000000,63867.580000,23.000000,12004.520000,0.414649,0.102056,0.000000,4.038179,54.500000,False
C000186,20.000000,367583.970000,20.000000,72603.500000,0.465272,0.042585,0.000000,0.560883,44.940000,False
C000187,25.000000,241855.490000,25.000000,41044.780000,0.448931,0.161740,0.000000,1.041907,12.560000,False
C000188,21.000000,37914.960000,21.000000,4855.440000,0.413856,0.035906,0.000000,2.321198,30.830000,False
C000189,20.000000,37583.950000,20.000000,5636.470000,0.252599,0.009728,0.000000,4.339388,68.500000,False
C000190,24.000000,262163.110000,24.000000,36486.400000,0.224357,0.131446,0.000000,1.356749,18.110000,False
C000191,26.000000,40284.740000,26.000000,5690.530000,0.313643,0.269962,0.000000,1.460325,24.670000,False
C000192,27.000000,115886.500000,27.000000,20057.790000,0.558027,0.061163,0.067933,1.615355,65.610000,False
C000193,27.000000,13308.270000,27.000000,2572.410000,0.554511,0.022384,0.000000,0.574563,36.170000,False
C000194,46.000000,135136.050000,46.000000,10362.160000,0.691762,0.117167,0.000000,1.081372,60.280000,False
C000195,21.000000,20000.080000,21.000000,2480.960000,0.281830,0.253345,0.000000,1.377023,19.110000,False
C000196,24.000000,82985.930000,24.000000,12980.890000,0.394521,0.293650,0.000000,0.818477,23.610000,False
C000197,43.000000,121730.790000,43.000000,9690.520000,0.678681,0.163173,0.000000,0.893343,54.560000,False
C000198,51.000000,876791.120000,51.000000,64925.210000,0.748177,0.092043,0.000000,1.090001,81.060000,False
C000199,15.000000,533134.800000,15.000000,101912.950000,0.402645,0.214515,0.000000,0.754331,73.830000,False
C000200,23.000000,130945.320000,23.000000,24095.150000,0.401163,0.404356,0.000000,0.369704,48.280000,False
C000201,44.000000,37556.950000,44.000000,3803.880000,0.685560,0.220169,0.000000,0.661703,64.720000,False
C000202,60.000000,1375891.220000,60.000000,185474.800000,1.100871,0.161192,0.000000,0.983222,95.000000,False
C000203,17.000000,396478.880000,17.000000,46423.280000,0.173549,0.099017,0.000000,0.552569,53.560000,False
C000204,22.000000,253804.480000,22.000000,29398.830000,0.250842,0.203165,0.000000,0.871179,18.390000,False
C000205,42.000000,340662.310000,42.000000,158772.820000,4.487772,0.023308,0.000000,0.869664,94.440000,False
C000206,33.000000,132934.160000,33.000000,13576.120000,0.783819,0.171799,0.000000,0.854933,38.940000,False
C000207,25.000000,157081.380000,25.000000,29428.400000,0.339222,0.258411,0.000000,1.509302,23.220000,False
C000208,21.000000,160856.260000,21.000000,25301.200000,0.239026,0.214885,0.000000,1.627645,19.390000,False
C000209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.750000,False
C000210,60.000000,208015.370000,60.000000,19505.350000,0.889468,0.225852,0.000000,1.820107,88.280000,False
C000211,44.000000,186486.000000,44.000000,20282.790000,0.726949,0.052242,0.054385,0.899673,79.610000,False
C000212,18.000000,13580.200000,18.000000,2250.270000,0.173338,0.000000,0.000000,1.248742,53.060000,False
C000213,31.000000,810390.640000,30.000000,93642.330000,0.343115,0.278051,0.000000,0.799794,77.890000,False
C000214,52.000000,20428.590000,51.000000,3641.640000,0.851191,0.145558,0.023789,1.139059,80.560000,False
C000215,25.000000,46027.690000,25.000000,8080.080000,0.541578,0.054357,0.000000,1.084303,13.060000,False
C000216,21.000000,67680.760000,21.000000,12661.500000,0.342587,0.117960,0.000000,1.167051,0.330000,False
C000217,43.000000,183905.200000,43.000000,28255.360000,0.721764,0.202739,0.000000,0.802370,58.390000,False
C000218,22.000000,20314.670000,22.000000,2808.000000,0.290963,0.120956,0.000000,0.573302,6.440000,False
C000219,21.000000,1070185.290000,21.000000,196465.760000,0.716997,0.132961,0.008110,0.819802,82.610000,False
C000220,49.000000,119670.640000,49.000000,11028.860000,1.059362,0.099011,0.000000,2.154449,75.390000,False
C000221,27.000000,105702.370000,27.000000,10207.370000,0.404704,0.033829,0.000000,1.213510,20.330000,False
C000222,21.000000,8950.200000,21.000000,1300.420000,0.372925,0.000000,0.000000,0.345937,42.170000,False
C000223,34.000000,334926.030000,34.000000,36610.010000,0.624965,0.073590,0.000000,1.293903,42.780000,False
C000224,19.000000,7583.740000,19.000000,1247.390000,0.293703,0.114455,0.000000,2.344700,37.390000,False
C000225,27.000000,20147.070000,27.000000,2083.200000,0.200617,0.120757,0.000000,0.825309,17.890000,False
C000226,19.000000,238642.860000,19.000000,65493.760000,0.694199,0.071243,0.000000,1.244978,50.610000,False
C000227,17.000000,55593.840000,17.000000,8463.280000,0.209964,0.449257,0.000000,0.315180,68.110000,False
C000228,26.000000,33320.170000,26.000000,6630.560000,0.391855,0.006874,0.000000,0.855063,36.220000,False
C000229,41.000000,72903.900000,41.000000,5989.170000,0.936503,0.055041,0.000000,1.743352,66.940000,False
C000230,19.000000,191642.770000,19.000000,28254.380000,0.292776,0.132791,0.000000,0.920087,21.220000,False
C000231,23.000000,105916.520000,23.000000,13257.330000,0.765892,0.077801,0.000000,0.708032,20.000000,False
C000232,50.000000,65342.290000,50.000000,8193.740000,0.462633,0.164204,0.000000,0.732907,69.440000,False
C000233,26.000000,167780.380000,25.000000,21082.540000,0.465624,0.265807,0.000000,0.574199,22.500000,False
C000234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.750000,False
C000235,22.000000,214904.810000,22.000000,36882.160000,0.589531,0.627805,0.000000,1.690268,78.560000,False
C000236,53.000000,163298.740000,53.000000,18943.610000,0.994823,0.232669,0.000000,1.164125,75.890000,False
C000237,20.000000,15936.650000,19.000000,2242.560000,0.315146,0.065253,0.000000,0.634532,17.500000,False
C000238,20.000000,211147.700000,20.000000,48604.820000,0.326290,0.210805,0.000000,2.499293,43.440000,False
C000239,23.000000,153589.160000,23.000000,28763.060000,0.441709,0.072109,0.000000,1.694182,10.560000,False
C000240,26.000000,11365.540000,26.000000,1628.370000,0.473564,0.182140,0.000000,0.887095,8.170000,False
C000241,29.000000,24479.480000,29.000000,3801.270000,0.480227,0.210375,0.006071,0.829601,37.610000,False
C000242,23.000000,222802.610000,23.000000,24807.600000,0.324033,0.378782,0.000000,1.467279,51.670000,False
C000243,15.000000,10379.750000,15.000000,1838.480000,0.390255,0.051774,0.000000,0.706918,43.610000,False
C000244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.750000,False
C000245,20.000000,13800.210000,20.000000,1612.770000,0.203367,0.178141,0.000000,1.669281,25.060000,False
C000246,27.000000,27554.800000,27.000000,2587.860000,0.366005,0.174928,0.000000,0.739298,8.330000,False
C000247,22.000000,755081.320000,22.000000,94562.910000,0.488872,0.198138,0.000000,1.526196,69.940000,False
C000248,23.000000,162436.780000,23.000000,34025.700000,0.392382,0.209470,0.000000,1.541167,10.890000,False
C000249,15.000000,77731.760000,15.000000,18090.730000,0.326497,0.043065,0.000000,1.166233,43.330000,False
C000250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.750000,False
C000251,18.000000,104807.770000,18.000000,16407.020000,0.197762,0.196266,0.000000,0.766089,29.940000,False
C000252,24.000000,229027.640000,24.000000,30288.540000,0.586652,0.250052,0.000000,1.173150,20.560000,False
C000253,49.000000,43648.210000,48.000000,3421.810000,0.656938,0.139410,0.000000,2.188864,72.330000,False
C000254,21.000000,18060.110000,21.000000,2233.900000,0.160126,0.000000,0.000000,1.594851,47.670000,False
C000255,23.000000,87485.350000,23.000000,11853.600000,0.342833,0.109462,0.000000,2.505140,20.280000,False
C000256,26.000000,135302.140000,26.000000,13646.360000,0.441551,0.122264,0.000000,2.009122,10.610000,False
C000257,47.000000,190066.720000,47.000000,22976.410000,0.622507,0.138905,0.000000,0.605379,64.330000,False
C000258,22.000000,42293.250000,22.000000,8229.160000,0.448662,0.197729,0.000000,2.356655,23.560000,False
C000259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.750000,False
C000260,25.000000,19854.400000,25.000000,2949.070000,0.329036,0.098201,0.000000,0.881823,1.720000,False
C000261,27.000000,287463.130000,27.000000,37616.380000,0.647279,0.233725,0.014006,0.653368,43.940000,False
