alert_id,hit_id,customer_id,account_id,scenario_id,window_start,window_end,transaction_count,amount_try,evidence_value,threshold_value,source_transaction_ids,rationale,kyc_risk_score,kyc_risk_band,kyc_overdue_flag,anomaly_score,anomaly_flag,graph_risk_score,short_cycle_member,total_degree,scenario_severity,alert_score,priority,recommended_action,alert_explanation
AL000023,H000020,C001218,A0000107,CIRCULAR_TRANSFER,2026-06-29 12:00:00,2026-06-29 20:00:00,3,620312.620000,3.000000,3.000000,T000048238|T000048239|T000048240,A short internal transfer cycle connected three synthetic customers.,15.000000,LOW,False,91.500000,False,74.910000,True,28,95.000000,79.700000,MEDIUM,Analyst review with customer and counterparty context,scenario=CIRCULAR_TRANSFER:95; KYC=15.0; anomaly=91.5; graph=74.9
AL000024,H000007,C000448,A0000401,CIRCULAR_TRANSFER,2026-06-27 12:00:00,2026-06-27 20:00:00,3,459519.170000,3.000000,3.000000,T000048229|T000048230|T000048231,A short internal transfer cycle connected three synthetic customers.,9.000000,LOW,True,92.390000,False,82.930000,True,32,95.000000,79.670000,MEDIUM,Analyst review with customer and counterparty context,scenario=CIRCULAR_TRANSFER:95; KYC=9.0; anomaly=92.4; graph=82.9
AL000025,H000013,C000894,A0000022,CIRCULAR_TRANSFER,2026-07-13 12:00:00,2026-07-13 20:00:00,3,661108.670000,3.000000,3.000000,T000048244|T000048245|T000048246,A short internal transfer cycle connected three synthetic customers.,23.000000,LOW,True,78.890000,False,77.380000,True,29,95.000000,79.460000,MEDIUM,Analyst review with customer and counterparty context,scenario=CIRCULAR_TRANSFER:95; KYC=23.0; anomaly=78.9; graph=77.4
AL000026,H000006,C000389,A0001775,CIRCULAR_TRANSFER,2026-07-09 12:00:00,2026-07-09 20:00:00,3,423007.530000,3.000000,3.000000,T000048241|T000048242|T000048243,A short internal transfer cycle connected three synthetic customers.,15.000000,LOW,False,98.940000,True,61.220000,True,17,95.000000,79.370000,MEDIUM,Analyst review with customer and counterparty context,scenario=CIRCULAR_TRANSFER:95; KYC=15.0; anomaly=98.9; graph=61.2
AL000027,H000054,C000734,A0001587,FUNNEL_MULE,2026-07-15 09:00:00,2026-07-16 01:00:00,7,476990.870000,6.780000,5.750000,T000048379|T000048380|T000048381|T000048382|T000048383|T000048384|T000048385,Multiple incoming counterparties were followed by concentrated outbound movement.,36.000000,MEDIUM,True,83.440000,False,65.220000,False,36,92.000000,79.160000,MEDIUM,Analyst review with customer and counterparty context,scenario=FUNNEL_MULE:92; KYC=36.0; anomaly=83.4; graph=65.2
AL000028,H000028,C001706,A0001772,CIRCULAR_TRANSFER,2026-06-29 12:00:00,2026-06-29 20:00:00,3,620312.620000,3.000000,3.000000,T000048238|T000048239|T000048240,A short internal transfer cycle connected three synthetic customers.,9.000000,LOW,False,89.670000,False,80.850000,True,31,95.000000,79.080000,MEDIUM,Analyst review with customer and counterparty context,scenario=CIRCULAR_TRANSFER:95; KYC=9.0; anomaly=89.7; graph=80.8
AL000029,H000022,C001344,A0001866,CIRCULAR_TRANSFER,2026-06-29 12:00:00,2026-06-29 20:00:00,3,620312.620000,3.000000,3.000000,T000048238|T000048239|T000048240,A short internal transfer cycle connected three synthetic customers.,9.000000,LOW,True,90.220000,False,79.070000,True,30,95.000000,78.980000,MEDIUM,Analyst review with customer and counterparty context,scenario=CIRCULAR_TRANSFER:95; KYC=9.0; anomaly=90.2; graph=79.1
AL000030,H000008,C000536,A0001424,CIRCULAR_TRANSFER,2026-08-15 12:00:00,2026-08-15 18:00:00,3,383314.230000,3.000000,3.000000,T000048393|T000048394|T000048395,A short internal transfer cycle connected three synthetic customers.,17.000000,LOW,False,75.000000,False,85.220000,True,34,95.000000,78.740000,MEDIUM,Analyst review with customer and counterparty context,scenario=CIRCULAR_TRANSFER:95; KYC=17.0; anomaly=75.0; graph=85.2
AL000031,H000014,C000965,A0000234,CIRCULAR_TRANSFER,2026-08-15 12:00:00,2026-08-15 18:00:00,3,383314.230000,3.000000,3.000000,T000048393|T000048394|T000048395,A short internal transfer cycle connected three synthetic customers.,14.000000,LOW,False,83.170000,False,76.970000,True,29,95.000000,78.580000,MEDIUM,Analyst review with customer and counterparty context,scenario=CIRCULAR_TRANSFER:95; KYC=14.0; anomaly=83.2; graph=77.0
AL000032,H000004,C000084,A0000352,CIRCULAR_TRANSFER,2026-08-11 12:00:00,2026-08-11 18:00:00,3,422477.130000,3.000000,3.000000,T000048396|T000048397|T000048398,A short internal transfer cycle connected three synthetic customers.,17.000000,LOW,True,81.110000,False,74.730000,True,30,95.000000,78.550000,MEDIUM,Analyst review with customer and counterparty context,scenario=CIRCULAR_TRANSFER:95; KYC=17.0; anomaly=81.1; graph=74.7
AL000033,H000106,C001542,A0001537,RAPID_MOVEMENT,2026-08-02 14:00:00,2026-08-02 19:00:00,2,1166063.390000,0.928200,0.800000,T000048109|T000048110,Material incoming funds were followed by rapid outbound movement.,48.000000,HIGH,True,99.670000,True,34.900000,False,29,88.000000,77.920000,MEDIUM,Analyst review with customer and counterparty context,scenario=RAPID_MOVEMENT:88; KYC=48.0; anomaly=99.7; graph=34.9
AL000034,H000120,C000847,A0000246,STRUCTURING,2026-07-17 10:00:00,2026-07-18 10:00:00,5,216470.820000,5.000000,5.000000,T000048325|T000048326|T000048327|T000048328|T000048329,Repeated cash inflows clustered below an internal monitoring parameter.,46.000000,HIGH,False,97.610000,True,70.950000,False,49,82.000000,77.320000,MEDIUM,Analyst review with customer and counterparty context,scenario=STRUCTURING:82; KYC=46.0; anomaly=97.6; graph=71.0
AL000035,H000078,C000724,A0000252,HIGH_RISK_GEOGRAPHY,2026-08-09 16:00:00,2026-08-13 16:00:00,2,199673.880000,199673.880000,150000.000000,T000048401|T000048402,Material activity involved a fictitious high-risk test jurisdiction.,50.000000,HIGH,True,99.720000,True,43.230000,False,26,85.000000,77.280000,MEDIUM,Analyst review with customer and counterparty context,scenario=HIGH_RISK_GEOGRAPHY:85; KYC=50.0; anomaly=99.7; graph=43.2
AL000036,H000095,C000549,A0000942,RAPID_MOVEMENT,2026-08-08 13:00:00,2026-08-09 07:05:45,4,761593.410000,0.845400,0.800000,T000048345|T000034513|T000048346|T000023567,Material incoming funds were followed by rapid outbound movement.,24.000000,LOW,False,99.390000,True,63.030000,False,46,88.000000,76.860000,MEDIUM,Analyst review with customer and counterparty context,scenario=RAPID_MOVEMENT:88; KYC=24.0; anomaly=99.4; graph=63.0
AL000037,H000051,C000005,A0000295,FUNNEL_MULE,2026-07-10 09:00:00,2026-07-12 04:26:20,8,497013.710000,6.785600,5.750000,T000048365|T000048366|T000048367|T000048368|T000048369|T000048370|T000048371|T000028945,Multiple incoming counterparties were followed by concentrated outbound movement.,9.000000,LOW,True,95.610000,True,67.920000,False,45,92.000000,76.820000,MEDIUM,Analyst review with customer and counterparty context,scenario=FUNNEL_MULE:92; KYC=9.0; anomaly=95.6; graph=67.9
AL000038,H000110,C001744,A0001141,RAPID_MOVEMENT,2026-06-30 14:00:00,2026-06-30 19:00:00,2,1132039.170000,0.891200,0.800000,T000048103|T000048104,Material incoming funds were followed by rapid outbound movement.,27.000000,LOW,True,99.890000,True,54.990000,False,45,88.000000,76.600000,MEDIUM,Analyst review with customer and counterparty context,scenario=RAPID_MOVEMENT:88; KYC=27.0; anomaly=99.9; graph=55.0
AL000039,H000067,C001729,A0002061,FUNNEL_MULE,2026-06-28 08:00:00,2026-06-29 02:00:00,8,675430.120000,7.840000,5.750000,T000048205|T000048206|T000048207|T000048208|T000048209|T000048210|T000048211|T000048212,Multiple incoming counterparties were followed by concentrated outbound movement.,18.000000,LOW,False,93.220000,False,52.400000,False,29,92.000000,76.370000,MEDIUM,Analyst review with customer and counterparty context,scenario=FUNNEL_MULE:92; KYC=18.0; anomaly=93.2; graph=52.4
AL000040,H000052,C000447,A0001030,FUNNEL_MULE,2026-08-03 07:57:21,2026-08-04 02:00:00,9,713471.410000,7.980400,5.750000,T000032955|T000048133|T000048134|T000048135|T000048136|T000048137|T000048138|T000048139|T000048140,Multiple incoming counterparties were followed by concentrated outbound movement.,9.000000,LOW,False,98.890000,True,55.720000,False,42,92.000000,76.060000,MEDIUM,Analyst review with customer and counterparty context,scenario=FUNNEL_MULE:92; KYC=9.0; anomaly=98.9; graph=55.7
AL000041,H000066,C001595,A0002101,FUNNEL_MULE,2026-07-05 08:00:00,2026-07-06 02:00:00,8,766657.780000,7.840000,5.750000,T000048149|T000048150|T000048151|T000048152|T000048153|T000048154|T000048155|T000048156,Multiple incoming counterparties were followed by concentrated outbound movement.,15.000000,LOW,True,98.220000,True,42.920000,False,21,92.000000,75.640000,MEDIUM,Analyst review with customer and counterparty context,scenario=FUNNEL_MULE:92; KYC=15.0; anomaly=98.2; graph=42.9
AL000042,H000053,C000524,A0001892,FUNNEL_MULE,2026-07-02 09:00:00,2026-07-03 01:00:00,7,527193.290000,6.780000,5.750000,T000048358|T000048359|T000048360|T000048361|T000048362|T000048363|T000048364,Multiple incoming counterparties were followed by concentrated outbound movement.,15.000000,LOW,False,90.330000,False,53.920000,False,34,92.000000,75.640000,MEDIUM,Analyst review with customer and counterparty context,scenario=FUNNEL_MULE:92; KYC=15.0; anomaly=90.3; graph=53.9
AL000043,H000061,C001356,A0000826,FUNNEL_MULE,2026-08-03 09:00:00,2026-08-04 05:35:00,8,557746.210000,7.770100,5.750000,T000048372|T000048373|T000048374|T000048375|T000048376|T000048377|T000048378|T000046483,Multiple incoming counterparties were followed by concentrated outbound movement.,9.000000,LOW,True,89.440000,False,63.060000,False,33,92.000000,75.470000,MEDIUM,Analyst review with customer and counterparty context,scenario=FUNNEL_MULE:92; KYC=9.0; anomaly=89.4; graph=63.1
AL000044,H000062,C001502,A0000358,FUNNEL_MULE,2026-07-29 08:00:00,2026-07-30 02:00:00,8,687772.740000,7.840000,5.750000,T000048197|T000048198|T000048199|T000048200|T000048201|T000048202|T000048203|T000048204,Multiple incoming counterparties were followed by concentrated outbound movement.,15.000000,LOW,True,96.670000,True,42.510000,False,41,92.000000,75.380000,MEDIUM,Analyst review with customer and counterparty context,scenario=FUNNEL_MULE:92; KYC=15.0; anomaly=96.7; graph=42.5
AL000045,H000093,C000446,A0000221,RAPID_MOVEMENT,2026-07-13 14:00:00,2026-07-14 13:25:17,3,464152.720000,0.884200,0.800000,T000048105|T000048106|T000011393,Material incoming funds were followed by rapid outbound movement.,9.000000,LOW,True,97.440000,True,67.460000,False,38,88.000000,74.630000,MEDIUM,Analyst review with customer and counterparty context,scenario=RAPID_MOVEMENT:88; KYC=9.0; anomaly=97.4; graph=67.5
AL000046,H000096,C000631,A0000146,RAPID_MOVEMENT,2026-07-13 13:00:00,2026-07-14 04:08:38,3,720047.930000,0.840000,0.800000,T000048337|T000048338|T000019656,Material incoming funds were followed by rapid outbound movement.,17.000000,LOW,False,93.000000,False,59.910000,False,36,88.000000,74.530000,MEDIUM,Analyst review with customer and counterparty context,scenario=RAPID_MOVEMENT:88; KYC=17.0; anomaly=93.0; graph=59.9
AL000047,H000060,C001328,A0001776,FUNNEL_MULE,2026-07-01 08:00:00,2026-07-02 02:00:00,8,634363.790000,7.840000,5.750000,T000048213|T000048214|T000048215|T000048216|T000048217|T000048218|T000048219|T000048220,Multiple incoming counterparties were followed by concentrated outbound movement.,20.000000,LOW,True,97.000000,True,24.930000,False,22,92.000000,74.470000,MEDIUM,Analyst review with customer and counterparty context,scenario=FUNNEL_MULE:92; KYC=20.0; anomaly=97.0; graph=24.9
AL000048,H000092,C000390,A0001003,RAPID_MOVEMENT,2026-06-23 14:00:00,2026-06-23 19:00:00,2,998242.080000,0.895500,0.800000,T000048111|T000048112,Material incoming funds were followed by rapid outbound movement.,26.000000,LOW,True,95.780000,True,40.450000,False,27,88.000000,74.410000,MEDIUM,Analyst review with customer and counterparty context,scenario=RAPID_MOVEMENT:88; KYC=26.0; anomaly=95.8; graph=40.5
AL000049,H000091,C000359,A0001123,RAPID_MOVEMENT,2026-08-04 13:00:00,2026-08-04 21:00:00,2,598174.580000,0.840000,0.800000,T000048343|T000048344,Material incoming funds were followed by rapid outbound movement.,13.000000,LOW,False,92.440000,False,63.370000,False,35,88.000000,74.160000,MEDIUM,Analyst review with customer and counterparty context,scenario=RAPID_MOVEMENT:88; KYC=13.0; anomaly=92.4; graph=63.4
AL000050,H000055,C001008,A0001902,FUNNEL_MULE,2026-07-26 09:00:00,2026-07-27 01:00:00,7,550814.980000,6.780000,5.750000,T000048351|T000048352|T000048353|T000048354|T000048355|T000048356|T000048357,Multiple incoming counterparties were followed by concentrated outbound movement.,15.000000,LOW,True,91.330000,False,37.110000,False,31,92.000000,74.100000,MEDIUM,Analyst review with customer and counterparty context,scenario=FUNNEL_MULE:92; KYC=15.0; anomaly=91.3; graph=37.1
AL000051,H000099,C001027,A0002191,RAPID_MOVEMENT,2026-07-12 14:00:00,2026-07-12 19:00:00,2,406364.920000,0.862700,0.800000,T000048117|T000048118,Material incoming funds were followed by rapid outbound movement.,20.000000,LOW,True,94.940000,False,47.280000,False,38,88.000000,74.020000,MEDIUM,Analyst review with customer and counterparty context,scenario=RAPID_MOVEMENT:88; KYC=20.0; anomaly=94.9; graph=47.3
AL000052,H000109,C001725,A0000651,RAPID_MOVEMENT,2026-07-04 14:00:00,2026-07-04 19:00:00,2,537565.900000,0.899000,0.800000,T000048091|T000048092,Material incoming funds were followed by rapid outbound movement.,36.000000,MEDIUM,True,88.780000,False,28.780000,False,27,88.000000,73.870000,MEDIUM,Analyst review with customer and counterparty context,scenario=RAPID_MOVEMENT:88; KYC=36.0; anomaly=88.8; graph=28.8
AL000053,H000087,C001597,A0001693,HIGH_RISK_GEOGRAPHY,2026-08-01 15:00:00,2026-08-07 15:00:00,3,307533.660000,307533.660000,150000.000000,T000048292|T000048293|T000048294,Material activity involved a fictitious high-risk test jurisdiction.,27.000000,LOW,False,95.330000,True,49.360000,False,44,85.000000,73.600000,MEDIUM,Analyst review with customer and counterparty context,scenario=HIGH_RISK_GEOGRAPHY:85; KYC=27.0; anomaly=95.3; graph=49.4
AL000054,H000097,C000799,A0002065,RAPID_MOVEMENT,2026-07-04 14:00:00,2026-07-04 19:00:00,2,690742.770000,0.872900,0.800000,T000048119|T000048120,Material incoming funds were followed by rapid outbound movement.,15.000000,LOW,False,93.440000,False,53.220000,False,30,88.000000,73.600000,MEDIUM,Analyst review with customer and counterparty context,scenario=RAPID_MOVEMENT:88; KYC=15.0; anomaly=93.4; graph=53.2
AL000055,H000065,C001564,A0000571,FUNNEL_MULE,2026-07-09 10:00:00,2026-07-11 09:51:30,11,705458.790000,9.839800,5.750000,T000048190|T000048191|T000048192|T000048193|T000048194|T000048195|T000048196|T000046688|T000040204|T000046737|T000004367,Multiple incoming counterparties were followed by concentrated outbound movement.,15.000000,LOW,True,91.560000,False,28.380000,False,27,92.000000,73.260000,MEDIUM,Analyst review with customer and counterparty context,scenario=FUNNEL_MULE:92; KYC=15.0; anomaly=91.6; graph=28.4
AL000056,H000085,C001376,A0000627,HIGH_RISK_GEOGRAPHY,2026-07-31 16:00:00,2026-08-04 16:00:00,2,203045.670000,203045.670000,150000.000000,T000048409|T000048410,Material activity involved a fictitious high-risk test jurisdiction.,15.000000,LOW,False,98.670000,True,60.030000,False,38,85.000000,73.220000,MEDIUM,Analyst review with customer and counterparty context,scenario=HIGH_RISK_GEOGRAPHY:85; KYC=15.0; anomaly=98.7; graph=60.0
AL000057,H000056,C001106,A0001983,FUNNEL_MULE,2026-07-08 08:00:00,2026-07-09 03:38:55,9,723034.160000,8.829300,5.750000,T000048173|T000048174|T000048175|T000048176|T000048177|T000048178|T000048179|T000048180|T000032221,Multiple incoming counterparties were followed by concentrated outbound movement.,15.000000,LOW,True,95.720000,True,21.110000,False,24,92.000000,73.110000,MEDIUM,Analyst review with customer and counterparty context,scenario=FUNNEL_MULE:92; KYC=15.0; anomaly=95.7; graph=21.1
AL000058,H000094,C000474,A0002071,RAPID_MOVEMENT,2026-07-16 13:00:00,2026-07-16 21:00:00,2,747223.080000,0.840000,0.800000,T000048341|T000048342,Material incoming funds were followed by rapid outbound movement.,15.000000,LOW,True,96.280000,True,43.550000,False,28,88.000000,73.030000,MEDIUM,Analyst review with customer and counterparty context,scenario=RAPID_MOVEMENT:88; KYC=15.0; anomaly=96.3; graph=43.5
AL000059,H000107,C001558,A0000509,RAPID_MOVEMENT,2026-07-23 14:00:00,2026-07-23 19:00:00,2,1080962.190000,0.846700,0.800000,T000048115|T000048116,Material incoming funds were followed by rapid outbound movement.,15.000000,LOW,True,98.720000,True,39.110000,False,26,88.000000,72.930000,MEDIUM,Analyst review with customer and counterparty context,scenario=RAPID_MOVEMENT:88; KYC=15.0; anomaly=98.7; graph=39.1
AL000060,H000068,C000117,A0000984,HIGH_RISK_GEOGRAPHY,2026-08-07 15:00:00,2026-08-13 15:00:00,3,335145.940000,335145.940000,150000.000000,T000048265|T000048266|T000048267,Material activity involved a fictitious high-risk test jurisdiction.,15.000000,LOW,True,99.220000,True,55.990000,False,36,85.000000,72.890000,MEDIUM,Analyst review with customer and counterparty context,scenario=HIGH_RISK_GEOGRAPHY:85; KYC=15.0; anomaly=99.2; graph=56.0
AL000061,H000101,C001325,A0000206,RAPID_MOVEMENT,2026-07-31 14:00:00,2026-07-31 19:00:00,2,1077198.980000,0.864100,0.800000,T000048107|T000048108,Material incoming funds were followed by rapid outbound movement.,9.000000,LOW,True,98.390000,True,48.570000,False,28,88.000000,72.870000,MEDIUM,Analyst review with customer and counterparty context,scenario=RAPID_MOVEMENT:88; KYC=9.0; anomaly=98.4; graph=48.6
